stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,118.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.95,0,0,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0,89.33,0,0,20.09,24.7,0,0,0,0,0,0,0
 10-12,4.07,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,145.72,11.25,0,31.2,3.47,0,0,0,0,0,0,0
 14-21,0,1.33,4.71,2.15,0,0,0,0,0,0,0,0,0.82,0,1.19,0,0,0.85,0.83,0,0,14.36,0,0,0.81,2.24,0,0,0
 24-34,0,0,0,1.13,0,1.47,0,0,0.83,0,0,0,1.24,0,1.47,3.21,0,1.34,0,1.34,0,2.84,0,0,3.23,4.69,0,17.29,0
 36-46,0,0,0,0,0,0.58,0,26.29,0.62,0,0,0,0.6,0,0,0,0,0,1.44,1.64,0,10.69,0,0,0,8.38,0,6.37,0
 48-58,0,0,0,0,0,2.94,0.86,0,0,0,0,0,0,0,0.82,0,0,3.21,0,1.66,0,0,0,2.54,0,32.19,0,0,0
 60-70,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0.76,0,0,3.62,0,3.32,0,9.69,0,0,0,1.07,0,0,0
 72-82,0,0,0.97,0,0,0,0,0,0.62,0.73,0,0,0.52,0,6.49,0,0.88,0,0,2.25,0,5.67,0,0,0,29.41,1.2,0,0.93
 84-94,0,0,3.78,1.34,0,0,0,0.71,0,0,0,0,0,1.79,1.52,0,2.85,0,0,0.82,0,28.66,0,0,0,33.22,1.81,0,0
 96-106,0,0,2.99,0,0,0,0,0,4.06,1.47,0,0,2.66,0,0.69,0,0,0.62,0,6.41,0,34.61,0,0,0,13.2,0,0,1.16
108-118,0,0,7.98,0,0,4.64,0,0,0.56,0.79,0,1.6,0.77,0,11.45,0,0,5.98,0,2.69,0,21.25,0,2.18,0,16.67,1.23,1.09,0
120,0,0,19.62,0,5.29,0,0,0,0,0,0,1.42,0,0,0,1.32,0,2.08,0,0,0,9.28,2.61,0,0,2.33,0,0,5
