stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,217.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0,0,0,0
  5-6,155.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,7.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.66,0,0,0,0,0,0,0,3.57,9.59,0,5.41,0,0,0,0,0,0
 14-21,0,0,2.6,8.68,0,3.42,0,0,0,0,0,0,1.04,0,0,0,0,0,6.84,0,0,2.2,42.69,1.13,0,0,0,0,2.13,0,0.87,0.85,1.81,3.01,16.76,0,0,3.94,0,0
 24-34,0,0.9,2.35,4.76,0,2.17,0,0,1.47,4.74,0,0,0.8,3.8,4.2,0,1.41,0.64,30.86,0,0,14.18,124.33,3.46,2.4,0,0,0,8.63,0,0,0.63,4.21,0.62,35.04,0,0,41.32,0,7.19
 36-46,0,0,0.69,0.58,0,12.85,4.08,0.79,2.32,4.85,0,0,3.81,5.02,13.15,0,0,4.14,53.61,0,0,3.5,166.37,0,0.6,0.61,0,0,14.32,0,0,0,0,0,39.16,0,0,38.49,0,5.63
 48-58,0,0.44,0.98,0,0,56.83,0.68,1.35,3.67,26.41,0,1.94,9.69,0.77,6.68,0,0,8.69,61.61,0,1.78,13.11,199.07,0,12.63,15.61,0,0,3.55,0,0,0.61,3.07,0,55.7,0,2.07,22.47,0,37.95
 60-70,0,0,5.46,0,0,141.83,0,3.07,4.39,52.59,1.59,0,17.75,3.07,29.88,0,0.78,12.72,83.21,0,0.63,8.44,236.76,0,6.81,1.26,0,1.44,2.22,0,0,1.79,0,0,41.79,3.21,1.91,18.02,0,20.69
 72-82,0,0.5,10.49,3.9,0,384.16,6.73,14.97,4.95,26.88,2.57,1.8,23.62,0,1.84,2.77,0,0,106.06,5.11,7.53,8.8,311.93,0,6.83,1.6,0,6.91,15.6,0,0,0,0.53,0,16.67,2.36,5.54,49.33,1.84,20.2
 84-94,0,4.67,10.86,0,0,281.14,1.27,0,4.32,39.1,2.08,8.03,32.66,8.03,20.4,0.6,3.17,3.96,99,0,4.27,6.46,238.31,0,3.82,6.08,0,4.36,23.03,0,0,1.18,0,0,36.94,10.5,1.22,42.37,2.84,0.77
 96-106,0,7.68,5.72,0,0,334.27,0,0.97,3.05,17.4,4.24,5.04,36.94,1.62,6.58,0,10.56,1.94,109.57,0,0.88,4.53,260.45,0,8.82,5.01,0,7.65,23.59,0,0,0,0,0,16.78,7.96,0,51.97,3.42,11.82
108-118,0,0.41,6.05,2.37,0.58,356.75,0,1.54,0.65,57.38,4.79,0.8,35.54,1.27,36.74,5.25,2.49,0.53,68.53,5.97,8.99,4.35,263.66,0,1.19,2.41,0,9.94,16.82,0,0,1.37,0.5,0,10.32,4.43,0.77,30.15,6.67,1.26
120,0,0,26.12,0,0,325.68,0,1.31,4.18,48.93,3.22,1.61,103.53,6.87,27.12,1.88,0,10.94,118.81,0,8.17,6.32,646.06,0,2.4,0,0,0,19.71,0,0,0,0,0,36.41,11.4,0,112.21,0,0
