stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.59,57.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.37,0,0,0,0,0,14.19,0,0,0,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,99.33,12.1,0,0,43.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.81,0,0,0,0,23.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.16,96.02,0,0,10.01,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,9.54,2.31,88.37,0,1.76,0,0,0,0,2.3,0,0,11.93,0,0,0,0,0
 24-34,0,0,3.75,0,0,0,1.67,0,1.14,0,0,0,0,0,0,0,0,0,0.79,1.29,0,1.09,0,0.59,23.2,16.71,0,43.19,0,0,1.81,0,0,0.93,0.66,49.19,0,0,0,0,0
 36-46,0,0,14.13,0,0,0,0.8,0,0,0,0,0.56,4.93,0,0,3.61,0,0,0,2.05,0,10.7,0,0,32.52,8.46,0,61.73,0,0,6.35,0,0,0,0,43.56,0,0,0,0,9.69
 48-58,0,0,6.9,0.4,0,0,7.75,0,2.95,0,0.46,0,1.38,0,0,18.84,0,0,10.64,1.87,0.95,41.75,0,1.22,52.28,16.66,1.5,86.54,0,0,12.4,0,0,0,0,37.54,0,0,0,0,10.66
 60-70,0,0,16.55,0,0,0,15.94,0,0,0,1.08,15.46,0,0,0,25.28,0,0,12.84,2.49,11.19,42.74,0,0,58.8,6.37,0,84.96,0,0,0.83,0,0,0,0,15.85,0,0,0,0,27.95
 72-82,0,0,23.29,2.21,1.26,0,54.42,0,0.81,3.99,3.63,30.7,0.52,0,1.4,0.66,0,0,78.66,3.39,26.75,72.8,0,0,206.47,0,1.49,105.44,0,0,6.99,0,0,0,0,17.61,1.16,0,0.9,0.93,31.87
 84-94,0,0,20.96,18.31,2.06,2.7,124.01,0.76,0.8,0,1.77,89.24,0.99,0,3.29,0,5.09,0,197.95,5.58,15.16,95.09,0,0,117.82,3.33,0,207.17,0,0,41.99,0,0,0,0.79,16,2.8,0,0,0,15.16
 96-106,0,0,33.98,20.9,10.64,23.14,242.14,5.51,1.53,3.05,13.35,114.38,1.32,0,2.95,0,6.54,0.9,516.61,15.51,96.31,135.93,2.04,2.83,285.79,0,0.59,195.9,0,0,27.14,2.06,0,0,0,22.57,2.42,3.12,11.52,0,18.96
108-118,0,0,21.47,21.01,6.15,67.09,254.22,0.44,1.39,1.52,31.23,156.74,0,0,0,0,31.41,0,1223.55,17.32,69.19,136.98,3.63,6.18,299.87,2.52,6.64,311.18,0,2.11,30.72,0,0,0.59,0,14.1,2.18,0,3.67,0,50.48
120,0,0,76.02,65.51,1.53,44.86,174.95,0,0,0,21,219.56,0,6.79,0,0,31.13,0,775.86,1.45,142.2,174.65,0,2.96,1178.21,0,0,446.51,0,0,13.67,0,0,0,0,23.08,1.27,0,16.84,0,3.72
