stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vasculature
  3-4,28.83,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,18,0,0,0,0
 10-12,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0
 24-34,0,0,0.81,0.87,0,0,0,0,6.26,1.53,0,0,1.07,0
 36-46,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
 48-58,0,0.61,0,1.62,0,1.51,0,0.42,0,4.61,0,0,0,0
 60-70,0,0,0,0,0,73.66,0,0.66,0,1.6,0,0,0,0
 72-82,0,0,0,0,0,167.73,0,0,0,2.8,0,0,0,0
 84-94,0,3.66,0,1.77,0,138.65,0.61,11.05,0,0,0,0,0,0
 96-106,0,0,0,7.4,3.01,183.75,6.85,0,0,5.12,0,0,0,0
108-118,0,0,0.83,1.13,0,289.62,6.01,5.27,0,17.6,0,0,0,0.62
120,0,0,0,8.57,0,295.94,7.23,0,0,16.95,3.73,1.88,0,0
