stage,epidermis,eye,fast.muscle,glial,gut,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,1.78,0.82,0,0,0,0,0,2.26,0,1.64,6.16,2.17,0,0,0.87,0,1.88,0,1.82,3.58,0
 24-34,3.1,2.27,0,0,0,0,0,1.6,0,0,18.99,0,0.75,1.49,0,5.4,0,0,0,7.39,0.6
 36-46,0,0,0,0,0,0,0,0.68,0,0,4.89,0,0,0,0,6.12,0,0,0,2.01,0
 48-58,0,4.07,0,0,0,0,0,0.44,0,0,12.35,0,0,5.47,0,9.97,0,0,0,2.71,0
 60-70,2.08,3.33,0,0,0,0,1.22,3.43,0,0,8.82,0,0,0,0,0.83,0,0,0,0,0
 72-82,0,1.74,0,1.88,0,0.59,0,4.47,0.72,0,16.27,2.01,0,0,0,2.94,0,1.31,0,0,1.79
 84-94,1.06,2.44,0,1.28,1.54,0,0,0.75,0,0,5.24,0,0,0,0,1.78,0,0.84,0,0,0
 96-106,3.18,6.99,0,4.89,0,0,0,3.06,0,0,0.8,0.66,0,0,0,2.43,0,0,0,0,5.8
108-118,2.76,5.48,0.92,11.18,0,0,0,2.62,0,0,11.41,1.69,0,1.33,0,0,0,1.64,0,0,0
120,3.07,0,2.52,2.33,1.74,0,0,5.33,0,0,15.37,8.88,0,0,0,2.4,0,3.15,0,0,0
