stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,3.56,0,0,0,0,0,0,0,42.84,0,3.4,0,0,0
 10-12,3.83,0,0,0,0,0,0,0,0,0,0,26.04,0,14.29,0,0,0
 14-21,0,0.84,0,0.87,0,0,0,0,0,0.84,0,0,0,0,0.93,0,0
 24-34,0,0,0,0,0,0.93,0,0,0,0,0,0.6,0.76,0,0,3.37,0
 36-46,0,0,0,0,2.19,0,0,0,0,0.73,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.43,0,0,0,0,0,0,5.95,0,0,0,4.29,0
 60-70,0,0,0,9.96,0.76,0.72,0,0,0,0,0,5.68,0,0,0,3.43,0
 72-82,0,0,0,0.72,0,0,0,0,0,0,0,2.22,0,0,0,0,0
 84-94,0,0,0,3.48,0,0,0,0,1.1,0.68,0,0,0,0,0,0,1.04
 96-106,0,0,4.86,2.9,0,0,0,0,0,0,0,1.99,1.64,0,0,0,0
108-118,0,0,0,2.68,0,0,1.1,0,0,0,0.8,0,0.61,0,0,0,0
120,0,0,0,0,0,0,0,4.43,0,1.21,0,0,0,0,0,0,0
