stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14,0,0,0,3.33,0,0,0,0,0,0,0,0
 14-21,2.36,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,26.32,0,0.88,0,0,0,0,1.48
 24-34,1.65,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0
 36-46,1.82,0,0,0,2.37,0,0,0,1.08,0,0,0,0,0,0,2.82,0,0,0,0,3.31,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.32,0,0,0,0.49,0,0,7.17,0,0,0,2.12,0,0,0,0,0.67,2.28,0,0,0,0,0,0
 60-70,29.03,0,0,3.66,23.03,0,0,0,5.52,0,0,1.46,0,0,0,1.16,0,0,0,0,0,0,0,0.6,0,0,0,0
 72-82,60.88,0.52,0,2.31,1.27,0,0,0,0,0,0,5.18,0,0,0,15.64,0,0,0,0,1.09,0,0,0,2.98,0,0,0
 84-94,116.88,0,0,1.78,2.9,0.93,0,0.75,0,0,0,0,0.56,0,0,0,0,0,0,0,1.42,0,0,0,6.29,0,0,0
 96-106,468.06,0,0,5.51,18.45,0,0.64,15.01,0,0,2.46,5.99,5.09,0.88,3.06,19.93,0,2.7,0.98,0,23.47,0,0,0,82.53,0,1.5,0
108-118,696.26,0,0,2.74,46.11,0,0.52,56.52,1.41,0.64,0,2.11,1.21,0,0,12.88,1.12,0,0,0,19.93,0,0,1.33,58.51,0.65,0,0
120,567.48,0,1.71,9.12,34.94,0,0,4.86,0,0,0,5.26,7.85,0,0,14.32,0,0,0,0,26.94,0,0,0,20.51,0,0,0
