stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 14-21,1.23,5.94,0,1.16,0,2.25,0,0,5.18,0,2.7,15.82,0,1.09,1.79,1.03,3.06,6.82,0
 24-34,0,1.8,0,5.49,0,0,0,0,1.56,0,0,24.43,0,0,0.65,0,0,8.01,7.17
 36-46,0,0,0,10.59,0,1.41,0,0,0,0,1.11,17.04,2.75,0,0,0,0,7.04,0
 48-58,0,1.65,1.63,6.15,0,0,0,0.41,2.29,0,0,15.5,0,0,0,0,0,0.6,0
 60-70,0,0.64,0,4.85,0,0,0,0,0.7,1.58,0,23.66,0,0,0,0,0,0,0
 72-82,0,0,0,2.42,2.05,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0.63
 84-94,0,0,0,9,0,0,0,0,0.83,0,0,1.02,0,0,0,0,0,0,0
 96-106,0,0,0,2.09,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.16,0,0,1.29,0,0,0,0,5.82,0,0,0,0,0,0,0
120,0,0,1.91,2.84,0,0,0,0,0,0,0,7.08,0,0,0,0,0,0,0
