stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0
 10-12,0,0,6.16,0,0,0,0,0,0,0,0,0,0,5.45,0,0,9.18,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,2.45,0,1.94,0,0,0,0,0,65.31,4.4,0.68,0,0,0,8.54,0,0,0
 36-46,7.97,0,6.92,0,0,41.6,0,0.72,0,0.66,0,0,0,70.52,6.91,0,0,0,0,32.13,0,0,0
 48-58,0,0,14.12,0,0,132.29,0,0,0,0.59,0.56,0,0,147.21,3.35,0,0,0,0,80.03,0,0,0
 60-70,0,0,15.26,0,0,271.31,0,0,0,3.99,0,0,0,137.91,5.74,0,0,0,0,35.17,0,0,0
 72-82,11.6,3.78,33.26,0,0,358.18,0,1.2,1.81,2.89,0,2.6,0,100.55,14.42,0,0,0,0,19.21,0,0,0
 84-94,0,0,12.29,0,0,236.36,0,0.69,0,3.54,0,0,3.28,48.61,4.04,0,0,0,0,18.19,0,1.07,0
 96-106,6.76,0,7.17,0,1.21,345.53,0,0,0,0,0,0,0,70.58,3.47,0,0,2.14,0,9.9,0.67,0,0
108-118,0,0,4.99,0,0,305.12,1.41,0,0,1.51,0,0,0,62.51,2,0.43,0,0,0,18.67,0,0.89,0
120,0,0,51.02,1.73,0,559.01,0,0,0,36.42,0,0,0,177.3,2.87,0,0,0,0,7.55,0,0,14.33
