stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste
  3-4,12.69,289.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.48,0,0,0,0,0
  5-6,28.82,1112.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,63.08,98.5,0,0,0,0,0
  7-9,13.53,56.08,192.46,0,55.89,0,0,0,0,73.8,0,0,0,0,0,0,1599.66,3.27,0,0,814.67,13.53,5.11,0,0,0,0
 10-12,0,11.8,26.47,0,17.39,0,0,0,0,0,0,0,0,0,0,0,336.41,5.14,0,0,164.05,5.41,0,6.49,0,0,0
 14-21,0,0,0,17.13,0.88,0,0.82,0,1.5,0,0,0,0,0,0,0,5.41,0,0,0,0,3.72,0,0,1.44,4.33,0
 24-34,0,0,0,0,0,0,0,0,0.67,0,0,0,0.65,0,1.5,0.96,25.78,0,0.69,2.6,0,0,0,0,0,0.94,0
 36-46,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,20.01,0,0,0,0,2.24,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,40.45,0,0,0,0,0,0,0,0,0.39,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.86,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,5.7,0,0,1.88,0,0,0,0,0,1.1,0,0,131.33,0,0,0.61,0,0,0,1.36,0,0,0.5
 84-94,0,0,0,0.98,5.71,0,0,0,0,0,1.14,0,0,1.29,0,0,50.39,0,0,0,0,0,0,0,0,3.3,0
 96-106,0,0,0,0,9.34,0,0,8.81,0,0,0,0,0,0.6,0,0,50.5,0,0,0,0,4.56,0,0,0,4.9,0
108-118,0,0,0,3.66,10.84,0,0,1.94,0,0,0,0.64,0,1.59,0,0,86.58,0,0,0,0,0.91,0,2.13,0,1.2,0.42
120,0,0,0,0,8.15,2.34,0,0,0,0,0,0,0,2.65,0,0,30.6,0,0,0,0,0,0,0,0,0,0
