stage,blastomeres,endoderm,epidermis,eye,glial,liver,mesenchyme,muscle,neural,periderm,pronephros,spinal.cord,vascular.smooth.muscle
  5-6,45.4,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.77,0,0,0,0,0,0,35.55,0,0,0,0
 10-12,0,0,0,9.93,0,0,0,0,7.85,0,5.15,0,0
 36-46,0,0,0.76,0,0,0,0,1.41,0.81,0.67,0,0,0
 48-58,0,0,0,0,0,0,0.38,0,0,0,0,0,0
 60-70,0,0,0,0,1.13,0,0,0,4.26,0,0,0,0
 72-82,0,0,0,2.03,0.83,1.36,0,0,0,0,0,9.24,0
 84-94,0,0,0.68,0,0,2.07,2,0,0,0,0,0,0
 96-106,0,0,0,1.31,0,0,0,0,0,0,0,0,0
108-118,0,0,1.82,1.78,0,0,0,0,0.98,0,0.75,0,2.65
