stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.13,0,0,0,0,0,0,4.47,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,8.97,0,0,0,0,1.25,4.26,1.4,0,0
 24-34,0,0,0,1.63,0,0,0.92,0,0,0,0,1.67,0,0.73,34.06,0,0.73,0,0,0,0,10.47,1.04,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0.57,0,0,44.32,0,0,0,7.58,0,2.13,5.71,0,0
 48-58,0,0,0,5.51,0,0,0,0,0,0,0,0,0,0,23.69,0,0,0,0,0,8.1,4.72,0,0
 60-70,3.78,0,0,1.29,0,0,1.1,0,0,0,0,0.68,0,0,18.61,0,0,0,0,0,8.6,4.21,0,0
 72-82,0,0.6,0,7.84,0,0,0.58,0,0,0,0,1.8,0,0,22.46,0,0,0,0,0,50.21,0,0,8.57
 84-94,0,1.14,0,6.15,4.67,0,6.48,0,0,5.42,0,5.68,0,0,15.24,0,0,0,0,0,74.54,0.9,0,0
 96-106,1.51,1.08,3.47,5.42,2.05,0,1.23,0.97,0.86,0,0.75,3.01,5.39,0,40.65,1.76,0,0,3.16,0,108.54,0,0.8,7.77
108-118,4.31,3.98,0,22.98,0.84,1.21,0,0,2.24,0,0,14.28,0,0.79,30.65,0,1.95,0,1.26,0,103.84,4.28,0,0
120,0,0,0,11.46,0,0,0,0,0,0,0,20.35,0,0,44.77,0,0,0,0,0,27.6,0,0,0
