stage,blastomeres,epidermis,eye,glial,heart,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,43.49,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0
  7-9,0,0,7.68,0,0,0,0,0,22.4,4.82,0,15.5,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.31,0,0,15.56,0,0,0,0
 14-21,0,0.88,1.22,0,0,0,3.14,1.13,11.83,0.81,0,0,0.86,6.64,0,0
 24-34,0,0,1.67,0,0,0,1.84,0,18.08,0,0,0,0,1.75,0,0
 36-46,0,0,2.04,0,0,0,1.78,1.09,17.96,0,0,0,1.67,3.21,0,0
 48-58,0,0,3.3,0.39,0,0,1.89,0,4.7,0,0,0,0,1.77,0,0
 60-70,0,0,0.93,0,0,0,1.62,0,5.64,0,0,0,0,0,0,0
 72-82,0,0,9.08,0,0,0,2.1,0,14.57,0,0,0,0,1.79,0,1.64
 84-94,0,0,1.65,0,0,0,1.17,0,8.11,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.58,0,0,0.74,0,0.65,0,0,0,0,0
108-118,0,0,0.95,0,0.47,0,0,0.57,10.58,0,0,0,1.47,0,0.43,0
