stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,108.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.26,207.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.77,15.88,0,18.75,0,0,29.46,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,190.95,0,0,0,55.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.27,0,0,4.64,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,147.04,0,0,0,54.27,0,0,0,20.99,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.78,2.84,3.98,0,0,4.93,0,0,1.52,0,0,0,0,0,0,3.71,0,0,8.88,60.21,2.59,2.02,0.84,0.91,4.18,0.91,10.38,0,12.21,39.31,0,0,0,0,0
 24-34,0,0,0,2.07,3.09,0,14.19,0.67,0,1.98,0,0,0,0,1.39,0.64,3.33,0.68,0.68,16.51,0,0,8.73,250.71,0,0,0.62,0,2.5,0,0,0,0,36.26,0,0,3.31,0,0
 36-46,0,0,0,0,6.1,0,41.13,0,0.57,5.11,0,0,0,3.31,0.56,0,0,0,0,14.23,0,0.63,5.97,340.44,1.69,0,0.57,0,12.08,0,0,0,0,64.71,0,0,2.29,0,13.12
 48-58,0,0,0,0,0.4,0,115.42,7.59,9.81,15.37,0,0,0,1.47,0,0,0,0,0,21.84,0,1.11,1.3,313.22,0,3.12,0,0,0.42,0,0,0,0,69.28,0,0,0.41,0,0
 60-70,0,0,0.57,0,3.15,0,134.65,1.82,0,21.57,0,0,0,5.33,0,0,0,0,0,28.22,0,1.33,5.31,264.53,0,0,3.5,0,11.11,0,0,0.68,0,31.73,0,1.03,0.58,0,0
 72-82,0,0,1.09,0,6.34,1.65,70.8,0,1.03,13.49,1.45,0,0,1.22,0.55,0.64,1.05,0,0,45.22,0,1.17,7.38,208.07,0.82,0.67,0,0,2.58,0,0,0.64,0,24.79,0,0,9.15,0.71,6.79
 84-94,0,0,0,0,5.33,0,55.13,0.68,0.65,10.14,0,0,0,0.65,0.82,0,0.6,0,0,16.14,0,0.63,0.8,122.06,2.04,0.71,8.86,0,9.02,0,0,0,0,16.91,0.86,3.07,1.77,0,1.67
 96-106,0,0,0,0,0.79,21.43,28.34,0,0,11.83,0,0,0,6.49,0,0,0,0,0,19.4,2.38,3.25,1.06,96.09,0,0,3.71,0,6.53,0,0,0.89,0,8.14,0,0,0,0.69,1.24
108-118,0,0,0,0,6.31,0,37.79,1.3,0.71,10.51,0,0,0,0.78,0,3.77,0,0,0,17.32,0,0,0.78,128.17,0,0,2,0,2.96,0,0,2.14,0,13.93,0,0,2.08,0,1.27
120,0,0,0,0,19.87,0,82.35,0,0,60.32,3.57,0,0,0,0,0,1.74,0,0,19.15,3.7,3.51,3.86,224.07,1.38,1.7,0,0,21.62,0,0,1.38,0,7.63,0,0,8.92,0,0
