stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.41,3.71,0,0,14.03,0,0,0,0,0,0,0,0,0,0
 10-12,5.04,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.26,0,0,0,28.43,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.25,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,51.82,0,0,0,0,1.43,14.5,0,0,0,0,0,0,2.27,0,0.92,0,0,0,0,0
 24-34,0,0,1.96,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,92.08,0,0,0,0,0.71,7.59,0,0,0,0,0,0.86,36.24,0,0,0,0,0.66,0,0
 36-46,0,0,3.17,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,71.68,0,0.61,0,0,0,1.84,0,0,0,0,0,0,63.87,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.61,0,0,0.46,0,0,0,0,0,0.52,0,0,58.25,0,0,0,0,0.62,6.62,0,0,0,0,0,0,63.28,0,1.35,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,210.73,0,0,0,0,0,0,240.98,0,3.08,0,0,0,5.21,0,0,0,0,0,0,143.42,0,0,0,0,3.46,0,0
 72-82,0,0.93,2.08,7.02,0,49.21,1.52,0,0,5.26,360.4,0,0,0.53,0,0,0,136.28,0,20.04,0,1.19,0.85,154.63,0,2.43,0,0,0,4.5,441.96,0,4.13,4.21,0,8.89,1.26,2.8
 84-94,0,0,0.67,16.05,0,17.89,0,0,2.16,2.24,955.42,2.11,0,0,0,0,0,92.99,4.96,5.18,0,0,3.22,93.68,0,0,1.34,0,0,8.92,1058.53,0,0,0,0,0,0,0
 96-106,0,8.01,26.17,39.37,0.62,182.06,6.69,1.88,14.98,30.5,2236.28,0,0,2.84,0.92,4.7,1.54,118.13,0,47.37,0,0,10.93,391.39,0,4.76,2.89,0,1.28,47.77,1469.7,0,16.62,0.67,0.96,2.94,5.12,15.56
108-118,0,4.19,21.67,19.4,6.19,109.78,2.57,4.15,1.48,26.94,4069.95,0,0,0.58,3.49,5.5,3.8,173.88,3.7,70.82,1.09,3.62,11.49,300.71,1.4,0.93,4.48,0,0.95,22.99,1938.41,1.17,7.48,5.4,1.17,1.7,1.74,13.04
120,0,0,17.27,19.37,5.27,109.46,0,10.96,22.53,59.81,6808.94,0,6.72,8.37,0,0,1.74,388.44,0,50.85,0,11.12,11.52,377.83,4.67,3.57,12.47,0,5.08,18.64,1227.64,0,36.25,1.06,0,2.43,0,0
