stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,mesenchyme,neural,otic,spinal.cord,vasculature
  3-4,22.35,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.47,0,0,0,0,0,0,0,0,16.08,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0
 14-21,0,0,1.02,0,0,0,0,0.87,0,0,5.61,0,0,0
 24-34,0,0,0.65,0.62,0,0,0,0,0,0.64,1.49,0,5.08,0
 36-46,0,0,0,0,0,0,0,0,0,0,12.21,3.13,0,0
 48-58,0,0,0,0,0,0.7,0,0,0.79,0,4.53,0.82,0,0.47
 60-70,0,0,0,4.97,0,0,0,0,0,1.23,5.05,1.58,0.86,0
 72-82,0,0,0,0,0,0,0,0,0,0.8,0.67,0.56,0,0
 84-94,0,0,0,0,0,0,0,0,0.64,0,0,4.83,0,0
 96-106,0,0,0,0,0,6.92,0.85,0,1.09,0,0,0.71,0,0
108-118,0,0,0,0,0.56,0,0,0,2.68,0,0.91,1.92,0,0
120,0,0,0,0,0,4.08,1.92,0,0,6.28,1.15,12.2,0,1.91
