stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.29,8.68,2.86,2.66,0,0,0,1.2,0,0,0,0,0,0,0,0,0,8.58,0,0,0.87,104.47,0.95,0,0.93,3.52,0.8,4.51,5.58,27.2,0,0,0,0.85
 24-34,0,3.22,0,32.23,0,0,0,3.55,1.69,0,0,0,0.63,0,0,0,0,21.72,0,0,9.23,242.6,0,0.73,5.28,0,4.13,0,0.85,33.45,0,9.38,0,0
 36-46,0,8.94,1.27,42.55,0,0,0,15.95,0,0,0,1.92,0,0,0,0.83,0,18.25,0,0,5.07,160.46,1.35,1.4,3.51,0,0.76,11.89,0,39.99,0,5.62,0,0
 48-58,0,4.49,2.11,77.39,0,7.24,0.79,12.86,0.43,0.75,0.48,0,0,0,0,1.26,0,8.71,7.98,8.07,7.13,126.73,7.9,0,0.86,0,3.84,0,0,20.52,0,0.4,0,0
 60-70,0,12.11,0,38.39,0,1.5,7.22,27.52,4.99,0,0,0,0,0,0,0,0,36.86,0,0,10.56,159.73,2.3,0.89,0,0,5.9,0,0,14.35,0,1.54,0,0
 72-82,0,7.68,0.51,61.44,0,0,2.31,15.97,0,0,4.58,0,0.7,0.59,0.92,0,0,69.25,0.78,0,9.06,101.31,5.96,0,0,0,3.67,0,0,18.6,0,5.1,0.57,0
 84-94,0,13.61,7.95,39.7,0,0,0.77,10.97,2.81,0,1.44,1.33,0.75,0,1.57,0.57,0,46.65,0,0.6,0,47.73,0,0,3.47,0,3.78,0,0,12.96,2.79,4.14,0,0
 96-106,0,2.86,2.25,17.43,0.57,0,0,9.31,0,0,0,0,0,0.66,0,0,0,20.05,0,0,6.72,40.23,0.62,0,0.73,0,0,0,0,8.07,0,3.83,0.85,0
108-118,0,4.19,4.09,29.71,0.51,0,2.11,13.54,3.24,0,1.49,1.66,0,0.85,0,0.43,0,33.89,0,6.84,3.67,72.79,0,0.96,2.45,0,1.21,0,0,3.11,0,1.54,0,2.01
120,0,15.29,14.67,95.13,0,3.47,1.82,38.36,0,0,0,6.08,0,0,1.69,8.26,1.64,29.22,0,9,3.59,137.32,0,0,0,0,2.19,0,0,5.58,0,1.46,23.53,0
