stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,202.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.85,328.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,0,0,13.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,12.69,0,0,22,0,0,0,4.61,0,0,0,0,0,0,0,0,0,153.35,10.62,0,0,54.7,0,7.8,0,0,0,0,0,0,0
 10-12,0,6.22,17.68,0,9.65,22.13,0,0,0,0,0,0,0,0,0,0,0,0,0,487.98,4.54,0,0,120.25,0,9.84,0,33.44,5.05,0,0,0,0
 14-21,0,0,1.61,8.92,0,2.88,0,0,3.51,0,0,0,0,0,0,4.81,0,0,2.22,61.23,5.15,0,0.95,3.75,2.09,0,5.27,0,5.2,13.03,0,0,0
 24-34,0,0,0,0.97,0,10.47,0,0,1.34,0,0,0,0.81,0,0,14.56,0,1.66,7.44,120.33,2.38,0.94,0,0,0.61,0,0,0,0.66,19.56,0,0,1.55
 36-46,0,0,0.56,0,0,17.35,0.88,0,2.38,0,0,0,2.37,0,0,5.53,0,0,3.79,51.44,0,0,0,0,0,0,0,0,0,8.94,3.33,0,0
 48-58,0,0,0,0.62,0,25.33,0,0,2.36,0,0,0,0,0,2.48,2.5,1.71,0,2.77,19.78,0,0,0,0,0,0,0,0,0,4.36,5.15,0,0
 60-70,0,0,0,3.31,0,8.9,0,1.37,7.41,0,0,0,0,1.16,0,2.98,0,0,0,14.18,0,0,0,0,0,0,0,0,0,1.63,0.57,0,0
 72-82,0,0,0,0,0,13.69,0,0.7,8.83,0,0.55,0,0.93,0,0,6.82,0,0,1.86,8.64,0,0,0,0,3.61,0,0,0,0,1.27,0,0,0
 84-94,0,0,0,0,0,11.92,0,0,0.74,0,0,0,0,0,0,5.47,0,0,0,2.55,0.86,0,0,0,0,0,0,0,0,1.3,0,0,2.42
 96-106,0,0,0,0.67,0,8.81,0,0,0,0,1.55,2.55,0,0,0,4.48,1.24,0,0,3.65,0,0,0.65,0,1.42,0,0,0,0,0,0,0,0
108-118,0,0,0,2.7,0,2.8,0,0,6.92,0,0,0,0,0,0.72,9.11,0,0,0,10.59,0,0,0,0,6.66,0,0,0,0,0,0,0.63,0
120,0,0,0,4.47,3.34,0,0,0,2.39,0,0,1.32,0,0,0,1.63,0,0,1.27,13.49,0,0,0,0,1.37,0,0,1.97,0,0,0,0,0
