stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,29.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,3.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79,0,0,0,3.81,3.03,0,0,0,0,0,0,0,0
 14-21,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,18.07,0,0,0,58.42,0,0.87,0,3.07,1.11,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,1.44,0,0,31.21,0,0,0,77.73,0,0,0,0,3.36,0,0,0,0
 36-46,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,9.8,0,0,0,146.5,0,0,0,0,1.27,0,0,0,0
 48-58,0,0,1.34,0,0,2.93,0,0,0,0,0,0,0,0,0.56,0,1.41,1.34,1.76,0,21.87,0,0.44,0,129.54,0,0,0,0,5.39,0,0,0,0
 60-70,0,0,5.47,0,0,6.78,1.33,3.37,0,0,0,0.77,0,0,0,0,0,4.83,2.49,0,25.28,0,1.1,0,262.47,0,0,0,0,1.58,0,0,0,4.24
 72-82,0,0,9.46,0,0,16.91,0,0,0,1.88,0.54,0,0,3.36,0,0,0,6.3,0.75,0,18.02,0,0,0.56,158.52,0,0,0,0,3.99,0,0,0,0
 84-94,0,0,14.58,0,0,8.96,0,4.44,3.19,1.69,0,0,3.41,2.35,0,0,0,6.28,3.36,0,23.2,0,0,0,493.4,0,0,0,0,0,0,0,0,0
 96-106,0,0,28.7,0,0,9.86,0,4.49,0,0,0.62,0,3.38,2.59,0,0.68,0,2.05,0,0,44.46,0.81,0,0,382.46,0,0,0,0,0,0.83,0,1.67,0
108-118,0,0,32.97,0.73,7.37,17.6,0,1.61,0,3.98,0.91,0,6.15,3.49,0,3.73,0,10.15,1.56,0.53,21.54,0,0,0,327.4,0,0,0,0,7.43,0.44,5.63,0,0
120,0,0,42.56,4.22,0,1.5,0,3.64,19.42,0,1.42,0,19.22,0,2.39,0,0,7.3,2.08,0,58.14,0,0,0,207.95,0,0,1.83,0,0,0,0,0,0
