stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26,0,0,0,0,0,0
 14-21,0,1,1.72,0,0,0,0,0,0,0,0,0,0,2.89,12.6,2.57,5.26,0,0,1.91,356.25,801.21,5.14,0
 24-34,0,0,0,0,1.33,45.54,1.92,0,0.7,0,0.62,0,0,4.81,30.42,53.71,0,0,5.77,0,121.8,546.05,12.54,0
 36-46,0,0,0,0,0.87,32.77,0,0,0,0,0,0,0,1.93,6.73,16.28,0,0,2.21,0,25.85,12.44,3.23,0
 48-58,0,0,0,0,7.94,19.5,0,0,0,0.93,0,0,0,0,30.13,8.83,0,0,0,0,4.49,0,6.04,0
 60-70,0,0,0,0,1.4,9.05,0,0.94,0,0,0,0,0,0,6.59,0.85,0,0,0,0,4.16,0,0,0
 72-82,0,0,0,0,1.73,11.42,0,0,0,0,0,0,0,0,3.35,4.44,0,0,0,0,0.53,0,0,0.77
 84-94,0,0,0.8,0,2.64,12.03,0,0,0,0,0,0,0,0,1.77,0.79,0,0,0.75,0,1.44,0,0,0
 96-106,0,0,0,7.72,0.63,27.56,0,0,0,0,0,1.36,0,1.43,13.92,11.7,0,0,1.38,0,10.8,0,0,0
108-118,0,0,0,0,0,10.75,0,0,1.65,0,0,0,2.4,2.78,12.83,0,0,0,0,0,2.9,0,0,0
120,0,0,0,0,0,19.6,0,0,2.09,0,0,0,0,0,8.26,0,0,0,0,0,5.08,0,0,0
