stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.26,5.32,0,0,13,0,3.3,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,26.17,2.93,0,0,0,0,0,0,0.82,0,0.81,0,0,0,0,0,4.48,0,0,3.01,20.05,14.08,1,0,0,0,78.9,1.21,0,0,0.83,6.88,0,0,2.06,0,0
 24-34,0,0,0,44.06,2.5,0,3.67,0,13.82,0,2.78,0.74,0,4.06,4.53,3.58,0,0,0,14.77,0,0,13.08,91.16,11.94,2.86,0.64,0,0,217.9,0,0,1.54,0,16.94,0,0,12.88,0,3.21
 36-46,0,0,0,41.35,1.23,0,8.42,7.54,14.11,1.65,5.72,0.67,0,9.53,12.21,0,0,0,0,24.71,3.94,4.9,8.78,131.98,20.62,0,0,0,0,356.45,0,0,0,0,7.44,0,0,3.91,0,11.36
 48-58,0,0,0,13.55,1.42,0,25.94,1.19,10.8,25.24,17.93,0,1.11,5.27,14.72,6.3,0,0,5.32,20.61,25.69,0.66,12.63,77.32,11.61,0.88,4.08,0,0,180.55,0,0,0,0,35.4,0,0,8.61,0,1.1
 60-70,0,0,0,26.12,0,0,44.06,0.67,20.43,65.53,37.47,1.85,0,13.03,5.91,0.66,0,0,18.16,36.16,5.73,7.7,3.07,97.47,4.49,0,1.81,0,1.93,182.14,0,0.58,0,0,18.56,0,0,20.88,0,0.77
 72-82,0,0.87,0,5.95,7.97,0,34.83,0.53,7.6,47.28,64.42,1.23,0,9.39,5.91,5.37,0,0,8.09,69.57,32.51,1.23,3.41,53.07,1.67,0,0,0,4.06,96.66,0,5.02,0,0,7.95,0,1.63,25.09,0,6.21
 84-94,0,0.81,0,27.44,2.8,0,57.74,0,21.17,26,52.08,4.13,0,29.77,16.29,0.64,0.93,0,54.81,48.61,21.89,0.94,0,57.83,1.24,1,0,0,2.68,237.85,0,0,0,0,0,0.66,2.73,18.6,2.71,0.55
 96-106,0,4.16,0,29.61,15.87,1.76,33.69,1.45,24.58,29.83,70.21,11.83,0,21.77,3.53,3.11,0,7.06,20.66,94.1,51.17,2.17,4.84,61.85,0,1.39,3.7,0,4.23,246.73,0,2.05,0,0,12.36,4.26,3.91,61.65,0,1.82
108-118,0,8.24,0,49.48,0.43,5.74,52.62,0,34.64,48.11,83.91,10.54,0,28.43,23.97,7.36,1.33,0.42,71.27,68.08,51.94,5.25,1.98,72.84,1.77,0.6,1.59,0,27.67,262.04,0,0,0,0,1.51,3.09,0,30.67,0,26.16
120,0,0,0,57.25,3.93,0,11.51,0,8.06,90.61,139.62,0,0,20.34,8.23,3.64,1.04,0,30.05,57.28,5.47,0,0,28.11,2,9.53,3.18,0,43.02,153.23,0,2.51,0,0,1.98,0,0,88.12,0,0
