stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.98,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.63,0,1.53,0,0,0,0,0,1.01,12.59,0,1.51,2.52,3.96,6.38,0,0,0,0
 24-34,0,0,0,2.52,0,1.51,0,0.7,0,6.73,0,1.41,43.99,0,4.41,2.19,0,6.43,0,0,0,0
 36-46,0,3.44,0,0,0,6.66,0,0,0,2.25,0,1.49,94.33,0,0,3.36,0,3.64,0,0,0,0
 48-58,0,0.44,5.2,3.8,0,3.45,0,1.2,0,2.12,0.39,0,88.02,0.39,2.95,5.92,0,7.29,0,0,0,0
 60-70,0,0,0,48.55,0,0,0,0.6,2.19,5.02,0,0.67,151.02,0,3.09,25.65,0,14.36,0,0,0.59,7.94
 72-82,0,0,0,190.3,0,11.5,0,0.5,1.61,8.68,0,1.24,156.53,0,2.81,20.69,0,3.97,0,0,0,0
 84-94,0,0,0,262.71,0.56,3.91,0,6.4,2.95,1.75,0,0,113.74,0,3.48,33.06,0,1.88,0,0,0,0
 96-106,0,0.8,0,243.77,0.86,2.91,0,4.45,0,4.17,0,0,137.31,0,1.51,42.46,0,9.29,0,0,0,0
108-118,0,0,0,269.31,0,2.94,6.21,6.95,0,4.88,0,1.83,116.93,0,1.24,32.23,0,3.7,2.7,0.56,1.27,0
120,0,1.45,0,337.07,0,0,0,10.25,2.7,0,0,0,203.53,0,0,50.54,0,0,0,0,0,0
