stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,183.4,3175.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.79,0,0,0,0
  5-6,99.72,1702.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.16,0,0,0,16.58,31.43,0,0,0,0
  7-9,12.76,79.48,0,44.79,0,119.21,0,0,0,19.71,0,0,0,0,0,0,0,0,849.01,50.97,0,0,290.62,0,0,0,0,0
 10-12,0,4.52,0,10.65,0,39.74,0,0,0,5.49,0,0,0,0,0,0,0,0,71.62,13.93,0,0,25.41,0,0,0,0,0
 14-21,0,0,0,0,21.33,0,0,0,0,0,0,0,0,0,4.57,0,0,0.99,0,7.52,0,0,1.46,0,0,0,0,0
 24-34,0,0,4.42,0,13.45,0.59,1.14,0,0,0,0,0,0,0,55.07,0,0,0,8.72,24.95,0.76,0,0,0,1.81,0,0,0
 36-46,0,0,0,0,0.87,0,6.96,0,0,0,0,0,0,0,12.93,0,0,0,0,12.31,0,0,0,0,0,0,0,0
 48-58,0,0,0.42,0,6.39,0,14.98,1.48,0,0,0.48,0,0,0,0.87,2.72,0,0,3,1.9,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,5.31,0,31.66,0,0,0,4.6,0,0,0,35.61,28.45,0.63,0,0,4.81,0,0,0,0,0,0,0,0
 72-82,0,0,1.16,0,11.04,4.02,31.85,0,0.92,0,0,0.58,0,0,12.28,98,16.6,0.54,10.6,1.15,0,0,0,2.37,0,0,0,0
 84-94,0,0,0,0,34.94,7.58,95.41,0,0,0,1.76,0,1,0,0.71,21.66,5.61,1.34,5.53,0.74,0,1.66,0,0,0,2.48,0,0
 96-106,0,0,0,0,40.8,8.46,31.96,0,1.5,0,6.54,1.2,0,1.3,3.09,33.7,26.06,0,1.66,0,0,0,0,1.67,0,2.82,1.93,0
108-118,0,0,0,0,65.35,6.6,104.42,0,6.73,0,0.46,3,0,0,9.83,73.92,2.4,0,8.41,0,0.58,0,0,4.13,0,14.78,0,2.44
120,0,0,0,0,35.23,0,94.79,0,9.56,0,0,0,0,0,0,30.73,21.04,0,12.21,0,0,1.28,0,0,0,1.22,0,0
