stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,34.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.03,0,0,0,20.65,0,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,159.45,0,0,0,35.36,0,10.95,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,1.09,1.83,0,0,3.81,0,0.87,0,1.4,0,0,0,0,1.86,0,0,0,0,2.25,0,0,4.51,47.65,0,2.21,0,0,4.88,0,0,1.23,7.64,44.76,0,0,0,0,0
 24-34,0,0,0,0,0.78,7.59,0,14.52,0,1.73,0,3.24,0,0.74,0,0,0,0,0,0.68,0,7.17,0,0,1.59,592.75,21.64,3.03,0,0,34.38,0,1.98,6.15,1.43,163.92,0,0,2.24,0,0
 36-46,0,0,0,0,8.65,0,0,56.02,0,0,0,13.79,0.67,0,1.74,0,5.33,0,0,1.69,0,12.32,1.01,0,3.03,965.45,21.05,0,0,0,55.29,0,0,0,0,293.78,0,0,0,0,7.64
 48-58,0,0,0,0,2.48,0,0,141.94,0,4.25,0.58,20.92,0,0,0.67,0,0.49,0,0.74,0,0,22.74,0.52,0,0.42,835.54,33.43,1.15,0,0,40.15,0,0,0,0,239.87,0,0,1.09,0,0.54
 60-70,0,0,0,0,6.8,0,0,327.91,1.28,1.81,0,23.47,0,0,0,1.9,11.52,0,0.8,0,0,33.74,0,0.7,0,568.86,20.09,0,3.17,0,70.75,0,1.84,1.33,0,107.19,0,0,0.6,0,14.27
 72-82,0,0,0,0,4.16,31.98,0,539.59,0,1.48,0.51,34.28,3.93,0,0.66,0,0,0,0.75,0,0,41.47,0,0,9.76,404.74,2.16,0.99,3.45,0,54.27,0,0,0,0,64.52,5.24,0,0,0,8.58
 84-94,0,0,0,0,12.9,23.55,0,441.12,4.31,2.14,1.9,24.19,0.68,2.11,0,1.57,0.61,4.05,0.9,0,0,36.03,3.4,3.31,1.13,346.2,11.48,3.7,0,0,127.11,0,0,0,0,16.37,0,2.67,0,4.88,8.73
 96-106,0,0,0,0,11.25,47.7,0.8,527.82,2.14,0.88,2.43,54.69,3.02,0,0,2.22,0.61,10.65,0,0,0,35.97,0,1.09,1.59,319.96,14.18,0,1.57,0,104.6,0,0,0,0,15.48,5.42,3.26,5.52,2.31,5.47
108-118,0,0,0,0,16.77,6.71,0,523.64,0.54,2.51,1.47,13.87,2.14,0,0,0,3.34,11.07,0,0,0.64,36.29,8.95,2.74,0.46,512.8,36.02,5.61,4.55,0,89.49,0,3.22,0,0,16.44,5.68,2.77,1.93,0.88,4.68
120,2.37,0,0,0,5.53,14.74,0,608.38,0,4.55,0,20.04,2.63,0,0,1.06,0,1.74,0,5.7,0,63.75,14.49,3.2,0,585.74,29.69,6.75,2.28,0,105.9,0,1.02,1.64,0,60.38,3.22,0,7.76,9.78,0
