stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,3.4,0,3.37,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,39.95,0,6.13,0,15.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.8,23.1,0,0,30.05,0,0,0,0,8.37,0,0,0,0,0,0
 14-21,0,0,0,0,1.06,1.23,0,1.06,0,0,0,0,0,0,10.89,0,2.38,0,0,0,0,10.58,0,0,0,6.88,6.18,0,0,19.32,0,0,1.18,0,3.33,0.88,0,0,0,0,0
 24-34,0,0,0.6,0,30.46,0,0,18.82,0,0,0,1.94,0,0,26.61,0,1.88,0.89,0,0.96,0,216.88,0,0,3.43,74.98,3.09,0,61.85,0,0,1.43,7.16,0,6.18,17.62,0,0,0,0,0.89
 36-46,0,0,0,0.58,42.95,0,0,377.35,1.51,3.68,1.24,77.9,1.15,0,9.22,0,1.48,0,1.09,0,0,594.44,0,11.26,24.53,367.28,1.17,0.56,35.78,0,0,0,0,0,0,20.42,0,0,4.96,0,0
 48-58,0,0,0,0,85.22,0,0,1357.44,1.52,31.68,5.78,227.27,9.14,0,4.26,0,1.48,0,0,3.07,0.78,1481.46,8.97,96.79,35.6,710.17,43.61,0,10.97,0,5.88,27.78,0.89,0.8,0,49.23,0,11.96,2.73,0,9.84
 60-70,0,0,0,0,111.5,1.22,0,1322.68,3.72,17.37,18.32,574.57,13.5,0,5.04,0,16.89,0,1.67,28.9,0,2595.76,0,252.98,30.98,647.08,104.96,0.71,2.98,0,6.01,9.79,6.26,0,0,83.86,0,135.4,15.2,41.56,12.6
 72-82,0,0,0.75,0,91,2.44,0,821.13,2.11,3.22,15.97,589.67,23.45,1.36,9,0.71,18.17,4.18,0,0,2.69,2129.68,2.55,148.3,56.48,375.34,39.2,2.57,13.39,0,38.19,17.8,0.97,0,0,49.18,0,275.86,8.89,224.51,0
 84-94,0,0,0,0,172.5,0,0,885.92,4.08,17.03,13,595.26,55.01,0,26.7,6.17,36.76,5.73,0,1.15,12.2,1454.08,0.58,131.7,14.73,165.28,90.5,8.87,24.76,0,33.08,82.98,5.62,0.79,0,62.54,0,276.75,14.27,195.61,9.2
 96-106,0,0,3.1,0,210.05,38.11,0,910.07,0,7.26,10.16,789.52,90.58,0,26.66,5.31,43.87,13.34,2.11,17.82,7.18,1119.69,2.26,88.46,19.72,451.6,44.82,30.27,5.53,0,42.36,103.24,12.93,0,0,47.08,1.32,91.78,1.19,120.03,0.89
108-118,3.03,0,15.44,2.66,352.48,1.6,1.31,850.07,0,19.15,18.33,543.56,238.97,0,26.81,12.22,127.74,1.6,0.6,0.94,1.77,1463.28,5.86,138.28,34.7,400.23,136.61,51.37,10.61,0,59.98,79.42,15.74,0,0,15.69,3.99,89.2,2.13,75.42,4.86
120,1.12,0,0,0,479.53,5.77,0,539.32,0,28.91,12.33,2157.95,237.53,0,45.69,10.09,76.19,10.07,4.23,5.67,0,1790.36,4.57,187.24,30.24,1025.1,455.55,30.11,20.06,0,83.74,53.5,16.32,0,0,87.17,4.59,169.76,0,167.06,9.75
