stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,104.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,17.32,0,4.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,10.07,0,4.33,0,0,5.64,4.46,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,0.98,0,0,0,0,0,0,0,2.24,0,1.06,0,0,0.8,0,0,0,1.22,0,0,0,0,0,4.02,0,0
 24-34,0,0,1.3,0,0,0,0.9,0,1.04,0,0,0,6.14,0,3.38,1.07,0,0,0,0,0,0,0,1.23,0,0,0,28.76,0,0
 36-46,0,0,0,0,0,0,2.42,6.39,0.68,0,0,2.76,0,1.34,0.82,2.49,0,0,0,0,0,0,0,0,0.89,0,0,20.14,0,0
 48-58,0,0,0,0,2.13,0,0.5,42.78,1.92,0,0,0,1.6,0,0,13.2,0,0,0,0,0,0,0.65,0,5.4,0,0,40.66,1.13,0
 60-70,0,0,0,0,23.01,0,0,198.67,1.09,0,3.73,0,11.25,0,0,12.43,0.62,0,0,1.67,0,0,0,0,10.72,0,0,31.39,2.43,0
 72-82,0,0.83,0,0,21.01,0,0,481.43,0.74,0.5,5.36,4.33,21.35,11.13,0.54,23.63,0,1.21,0,3.49,4.05,0,0,0,11.78,0,1.43,122.6,3.85,0
 84-94,0,0,1.94,2.59,18.71,0,3.51,392.65,3.6,0,9.21,0,28.57,0,1.88,10.18,0,0.92,0,8.07,0,0,0,0,4.24,0,0,110.66,1.85,4.35
 96-106,0,0,3.28,0,4.47,0.87,0,490.47,5.99,0,12.9,0,31.9,4.98,1.18,27.56,0,0,0,3.55,0,0,2.53,0,4.45,1.66,1.15,133.22,11.35,0
108-118,0,0,0,0,5.85,0,0,568.06,6.73,0,11.6,0,39.51,2.05,0.85,15.5,0,0,0,10.52,0,0,0.7,0,2.42,0,1.88,175.83,6.23,0
120,0,0,1.82,0,22.61,0,0,700.11,1.61,0,9.16,0,39.04,3.46,2.2,32.24,0,0,0,13.88,0,0,0,0,3.71,0,1.54,183.13,0,0
