stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,69.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,143.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,19.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.42,6.09,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,20.18,0,0,0,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.46,13.52,0,0,74.02,0,0,0,18.71,0,0,0,0,0,0,0,0
 14-21,0,4.27,6.9,54.45,3.21,0,34.05,0,0,11.88,8.22,1.52,0,0,0,0,0,0,12.66,0,9.41,517.94,2.2,2.58,13.55,3.75,0,1.31,9.89,2.16,1.58,5.59,208.03,0,0,0,0,0
 24-34,0,0,2.63,6.93,0,0,10.85,0,0,14.62,0,0,0,0,0,0,1.39,0,5.36,0,0,801.74,0.99,14.01,5.54,0,1.14,4.22,0,0,0,0,164.59,0,0,0,0,0
 36-46,0,0,0,27.87,1.13,0,57.9,0,0,34.85,1.56,0.95,0,0,0,0,0,0,20.5,0,0.6,1868.73,1.4,1.24,2.49,0,0,0,0,1.24,0,0,387.91,0,0,0,0,6.02
 48-58,0,0.42,0,5.36,0,0,105.78,0,0,37.88,0,0.48,4.8,0,0,0,15.75,0,20.61,1.71,5.84,1739.39,0,6.84,0,0,0,6.81,0,0,0,0,259.98,0,0,1.24,0,6.43
 60-70,0,0,0,19.28,0,0,219.78,0,0.6,99.98,0,0,0,0,0,0.8,0,2.72,25.11,0.7,4.64,2785.73,0,0.7,4.22,0,2.07,10.09,0,1.87,0,0,403.58,0,0,1.81,0,19.03
 72-82,0,0,0,9.45,2.14,0,272.41,0,0,32.36,0,0,0,0,0,1.05,0,0,29.47,0,0,2422.78,0,2.68,0.54,0,0,1.67,0,0,0,0,189.87,2.31,0,3.87,0,0
 84-94,0,5.78,0,7.64,0,0,216.34,1.42,0,51.35,0,2.27,1.58,0.86,0.98,0,0,0,35.92,9.14,2.87,1872.73,0,1.82,11.79,0,4.92,1.92,0,0,0,0,125.88,6.03,1.7,4.36,0,0
 96-106,0,1.68,0,5.39,11.87,0.57,168.41,0,2.43,37.44,3.45,0,0,0,0,0,0,0,17.81,0.73,2.21,1354.32,2.22,1.86,2.29,0,1.16,8.83,0,0,0,0,53.01,1.22,0,0,0,10.64
108-118,0,1.84,0,18.04,3.57,3.75,201.56,1.34,2.71,25,1.58,0,1.97,0,0,0.46,0.44,0,14.33,0.62,0,1672.29,1.67,3.39,3.38,0,0,4.97,0,0.98,0,0,46.28,1.65,3.18,2.78,0.72,0
120,0,0,0,9.67,0,0,224.93,0,5.15,44.44,0,0,1.52,0,0,0,0,0,36.77,0,0,2853.81,1.32,2.28,0,0,0,0,0,0,0,0,32.03,0,9.46,19.01,3.95,0
