stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0,0,0,5.88,0,0,0
 14-21,0,1.61,0.84,0,0,0.88,0,0,1.39,0,0,0,0,3.6,1.87,0,0,0,3.09,0,3.56,0,1.78,11.13,1.19,0,0
 24-34,0,0,0,0,6.55,3.24,0,0,0,0,0,0,0,0.71,9.99,0,32.73,0,3.19,0,0,8.15,0,0,0.79,0,0
 36-46,0,0,1.9,0,6.53,0,0,0,0,0,0,0,2.77,0,10.98,0,22.88,0,0,0,0,14.51,0,0,0,0,0
 48-58,0,0.39,0,0,5.03,0,0,0.69,0,0.66,0,2.54,0.38,0,5.89,1.04,22.86,0,0,0,0,5.52,0,0,0.64,0,0
 60-70,0,0,0,0,7.27,1.46,0,0.87,0,0,0,13.11,0.81,0.58,9.37,0,32.49,0,0,0,0,6.36,0,0,0.89,0,0.73
 72-82,0,1.69,0,0,13.97,0,1,0,0,0.51,0,17.06,10.44,0,17.82,0,91.08,0,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,4.33,0,0,0,0,0,0,0,16.89,7.85,0,44.69,0.78,175.63,0,0.78,0,0,5.99,0,0,0,0,0
 96-106,0,0,1.95,0,13.19,0.84,1.14,3.02,0,0,1.53,69.64,6.06,0,39.46,0,193.95,0,0,0,0,3.49,0,0,0,0,0
108-118,0,0,0.46,0,3.11,0,0,3.29,0,0,0,51.83,7.46,0.91,123.84,0.99,188.72,3.03,0,0,0,2.14,0,0,0,3.56,0
120,0,1.39,0,0,0,0,0,0,0,0,0,55,7.64,3.62,276.89,0,280.7,0,0,2.5,0,2.39,0,0,0,0,0
