stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,1.3,26.15,20.64,7.27,0,0,13.03,1.94,0,2.27,0,0,0,0,13.95,0,0,12.46,347.71,5.12,1.72,4.17,8.65,3.63,62.88,1.97,29.96,131.03,0,1.86,0
 24-34,1.1,0,2.99,7.41,21.62,2.35,0,4.73,0.77,0,0.87,0.7,2.16,2.41,0,15.94,0,1.52,12.06,258.45,0,4.69,2.92,0,6.47,0,1.53,4.79,52.2,0,0,1.52
 36-46,0,0,17.27,7.45,41.56,0,0,3.08,0,0,0,0,0,0.99,0,8.99,0,1.54,1.35,116.81,0,3.2,4.27,0,10.21,0,0,0,24.34,0,0,0
 48-58,0,0,5.72,4.42,54.77,0,0,8.54,3.1,0,0,0,2.58,0,0,2.96,0,0.4,4.4,57.03,0,0,0,0,1.2,0,0,0,2.95,0,2.46,0
 60-70,0,0,1.02,2.38,64.34,0,0,9.84,0,0,0.72,0,0.66,0,0,17.13,0,2.75,0.7,40.5,0,0.88,0,0,4.66,0,0,0,1.87,0,0.75,0
 72-82,0,0,0.62,0,27.39,0,0,3.49,0,0,0,0,0,0.66,1.17,10.48,0,0,3.61,28.24,0,1.58,2.35,0,0.57,0,0,0,2.04,0,3.98,0
 84-94,0,0,0.82,1.48,25.07,0,1.01,0,0,0,0.55,0,0,0,0,5.8,0,0,2.85,14.01,1.76,0.97,0,0,0,0,0,0,0,0.83,2.89,0
 96-106,0,0,5.03,0,7.27,0,0,2.1,0,1.95,0,0,0,0,0,6.91,0.98,0,0.69,6.72,0,0,0,0,1.83,0,0.67,0,0,0,2.13,0
108-118,0,0,1.93,0.57,10.52,0.47,0.8,11.64,0,0,10.57,0,0,0,1.45,0.53,0,1.05,0,17.08,0,1.95,0,0,0,0,0,0,0.78,0,4.13,0
120,0,0,1.23,1.16,2.12,0,0,2.85,0,0,0,1.45,0,0,0,0,0,0,0,8.14,0,1.26,0,0,0,0,0,0,0,0,4.18,0
