stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,67.8,1867.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.7,0,0,0,0,0,0,0,0,0,0,0
  5-6,234.74,3750.64,0,0,0,0,0,0,0,0,0,0,59.22,0,0,0,0,0,0,0,0,0,0,0,103.53,24.27,0,0,27.58,0,34.24,0,0,0,0,0,0,0,0,0,0,0
  7-9,108.38,79.02,0,100.88,0,0,0,186.61,0,0,0,0,52.64,0,0,0,0,0,0,0,0,0,0,0,2117.51,105.57,0,0,623.25,0,0,19.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.44,0,52.61,0,0,0,74.94,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,830.51,38.98,0,0,235.28,0,0,0,0,38.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,14.45,5.55,0,3.04,0,0,4.03,0,0,0,0,0,0,0,0,0,8.13,0,0,3.98,117.53,0.81,0.85,5.35,0.88,0,4.32,0.9,9.37,0.92,0,3.41,40.15,0,0,0.98,0,0
 24-34,0,0,0.84,0.64,11.43,0,0,24.67,0,0,12.75,0,0,0.75,0,0,0,1.4,0,0,17.02,0,0,3.86,205.84,5.32,2.12,0,0,0,28.32,0,0,1.34,0,2.04,25.7,0,0,2.25,0,0
 36-46,0,0,0,0,8.6,1.32,0,31.44,0,0,7.26,0,1.6,0,0,0,0,1.61,0,0,16.47,0,0,4.28,252.01,2.14,5.2,2.18,0,0,10.98,0,0,0,0,0,37.92,0,0,3.78,0,0
 48-58,0,0,0,0,2.92,0,0,64.66,0,0,5.44,0,0,0,0.49,0,0,0.41,0,0,25.35,0,0.49,10.81,224.5,0.4,0.92,0.64,0,0,6.04,0,0,0,0,0,42.03,0,0,0.43,0,3.22
 60-70,0,0,0,0,6.41,0,0,83.71,0,0,7.77,5.4,0,0,0,0,0.66,0,0,0,21.13,0,0,12.96,197.85,0,5.99,0,0,0,6.95,0,0,0,0,0,34,0,1.5,11.74,0,0
 72-82,0,0,0,0,2.35,0.8,0,49.97,0.58,0,8.88,0,0,1.6,0.56,0,0.75,0,0,0,37.52,0,5.53,0.82,126.59,0,0.63,1.6,0,0,1.78,0,0,0.64,0,0,15.59,0,0.76,13.03,0,7.44
 84-94,0,0,0,0,2.41,0,0,55.56,0.91,0.6,5.35,0,0,0,1.42,0.56,0,0,0,0,40.78,0,2.76,3.52,106.15,0,5.19,0,0,1.53,6.9,0,0,0,0,0,25.64,1.15,0,13.45,0,0.82
 96-106,0,0,0,0,2.57,16.76,0,43.67,0,0,7.33,8,0,3.87,0.98,1.51,0,1.03,7.38,0,9.86,0.7,0,0.95,107.79,1.2,3.87,3.44,0,2.66,15.75,0,0,0,0.57,0,7.36,1.41,0,2.87,1.24,1.09
108-118,0,0,0,0,8.45,1.13,1.25,26.15,5.68,0,15.47,1,0,0,0,3.82,2.29,0,0,1.93,35.97,0,0,2.64,133.73,0,0.53,1.88,0,0,9.66,0,0,1.36,0,0,14,0,0,1.88,0.49,0
120,0,0,0,0,1.33,0,0,28.62,0,0,19.32,1.14,0,2.63,0,0,0,0,0,0,14.67,0,0,1.58,148.03,0,0,0,0,0,10.25,0,0,0,0,0,8.64,0,0,6.81,0,0
