stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3.36,0,0,0,0,0,0,0,0,0,2.26,0,0,2.66,0,0,0,0,0.89,0,0,0,0,0
 24-34,5.33,0,0.78,0,0,0,3.35,0,0,0,7.89,0,2.61,4.19,0,0.99,0,0,0,0.9,0,2.09,0,0
 36-46,3.32,0,0,0,1.94,0,1.77,0,0,0,4.43,0,0.77,22.77,0,0,3.73,0,0,3.81,0,0,0,0
 48-58,0,0,1.65,0,0.45,0,0,0,0,0,4.84,0,0.63,13.99,0,0,1.88,0,0,0,0.79,1.01,0,0
 60-70,0,0,4.38,1.01,0.94,0.58,0,0,1.86,0,5.98,0,1.59,23.64,0,0,2.76,0,0,5.12,0,3.76,0,0
 72-82,1.28,7.99,7.05,0,0,1.3,0.89,0,0,0,5.5,0,0,7.88,1.38,0,0.84,0,0,3.49,0,5.86,2.19,0
 84-94,2.51,0,5.51,0,2.54,0,0,0,2.38,1.76,3.22,1.91,0,10.12,0,0.57,0.86,0,0,0,0,6.14,0,1.89
 96-106,1.37,0,1.22,0,0.63,0,3.47,0,1.89,0.77,9.5,0,0,12.4,0,4.36,0,0,0,3.56,2.52,6.77,0,0
108-118,1.54,0,0.81,0,3.13,7.93,0,0.68,0,0,1.04,0,0,4.65,0,0,0,0.62,0,0,0,3.75,0,0.87
120,12.94,0,2.73,0,1.8,0,0,1.35,1.62,3.24,0,0,0,9.56,0,0,0,0,0,0,0,0,0,1.64
