stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,80.65,1715.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.53,0,0,0,0,0,0,0,0,0,0
  5-6,121.29,2635.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.12,0,0,0,23.01,0,6.9,0,0,0,0,0,0,0,0,0,0
  7-9,47.01,229.84,0,212.92,0,6.96,0,1119.86,0,0,0,0,116.01,0,0,0,0,0,0,0,0,0,0,0,5738.84,73.6,0,0,1907.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,139.81,0,203,0,5.97,0,603.89,0,0,0,0,112.55,0,0,0,0,0,0,0,0,0,0,0,4575.43,84.25,0,0,1434.29,0,0,10.87,219.84,0,8.29,14.38,0,0,0,0,0
 14-21,0,3.65,0,67.42,749.41,324.99,0,661.18,0,0,18.22,17.88,28.83,0.97,0,4.52,0,1.72,2.91,3.66,230.97,0,0,293.95,3569.38,31.62,9.51,29.73,199.98,0,23.57,888.46,34.22,7.1,1252.61,899.98,0,0,3.7,0,7.7
 24-34,0,0,0,37.96,67.59,26.79,0,283.59,0,0.67,17.33,10.6,0,0,2.64,0,9.27,2.08,11.35,3.31,114.64,0.69,0,65.68,688.74,0.77,2.54,9,1.99,0,25.04,0,10.12,1.95,69.27,163.1,0,0,13.85,0,8.75
 36-46,0,0,0,1.92,10.33,0,0,56.04,0,0.72,12.21,4.22,0,0.73,0,0,0,0,4.5,0,21.95,0,0,12.9,141.13,0,0.64,2.29,0,0,11.3,0,5.32,0,0,28.88,0,0,6.22,0,0
 48-58,0.77,0,0,4.3,5.34,0,0,72.79,3.35,0.42,12.61,23.04,0,1.11,2.48,0,2.26,0,9.56,3.99,23,0,0.77,7.13,95.64,0,0,1.28,0,0,0.81,0,5.4,0,0,14.95,0,0,2.09,0,1.77
 60-70,0,0,0,0,12.53,0,3.65,136.54,0,0,16.18,25.96,0,0,0.61,0,2.51,2.9,21.87,0,28.01,0,2.96,6.16,124.48,0.63,4.14,0,0,0.84,2.25,0,31.24,0,0,7.5,0,0,8.87,0,11.13
 72-82,0,0,0,0,7.08,0.68,0,31.93,0,3.5,8.02,23.35,0,0,2.25,1.03,0,0,5.12,0,7.62,0,0,1.54,93.3,0,0,2.99,0,0,2.08,0,37.86,0,0,4.97,1.87,0.66,8.68,0,0
 84-94,0,0,0,0,10.84,2.37,16.19,42.97,1.82,0.8,16.32,72.76,0,0,0.91,1.79,0,1.43,11.54,0,22.02,0,0.8,10.44,62.85,0.82,0,0.59,0,0,2.31,0,75.82,0,0,0.64,2.22,0,4.59,0.81,0
 96-106,0,0,0.95,0,8.98,0.81,12.32,18.44,0,0.81,8.83,43.61,0,0.96,5.61,2.36,0,0,2.14,0.85,20.69,0.81,0,7.7,72.29,0,1.29,0,0,0,6.76,0,101.35,0,0,0,1.13,0,8.5,0,6.16
108-118,0,0,0,0,29.85,4,4.18,23.13,1.99,2.81,28.33,20.85,0,0,2.76,1.41,0.54,1.19,11.78,0,24.12,0,1.16,14.66,99,0,3.1,0,0,0,10.39,0,77.6,0,0,8.66,1.19,0,5.44,0,0.98
120,0,0,0,0,12.82,0,0,10.61,1.36,6.64,4.47,14.08,0,1.15,4.2,0,0,0,0,0,18.06,0,0,4.47,58.3,0,1.06,0,0,0,3.94,0,50.41,0,0,0,0,0,0,0,0
