stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,309.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,150.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93,0,0,0,0,0,16.32,0,0,0,0,0,0
 14-21,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,15.46,2.39,1.07,0,0,0,35.3,0,501.45,429.18,5.19,0,0,0,0,0
 24-34,0,0,0,0.98,0,0,4.55,4.15,0,0,0,0,0,0,0,0,0,1.39,16.48,88.66,5.02,0,0,0,1.68,0,0,75.08,91.27,12.98,0,0,0,0,0
 36-46,0,0,0,0,0,0,15.15,20.03,0,0,8.52,0,0,0,0.71,0,0,18.09,29.23,99.2,3.32,0,0,0,0,1.05,0,42.95,4.24,12.7,0,0,0,0,0
 48-58,0,0,0,0.53,0,0,22.52,21.05,0,5.86,14.53,0,0,0,0,0,0,14.79,41.13,118.63,1.73,0.8,0,0,3.54,0,0,18.82,0,29.99,0,0,0.59,0,4.85
 60-70,0,0,0,0,0,0,83.33,22,0,3.8,122.33,0,0,0,0,0,0,36.37,30.77,216.65,0.84,15.85,0,0,0,0,0,16.09,0,22.22,0,0.61,0,0,0
 72-82,0,0,0,0,1.05,0,136.14,17.17,0,0.94,270.14,0,0.74,0,0,0,0,78.56,34.25,305.84,0,2.29,0,0,0.81,0,0,5.59,0,42.28,0,0,0.6,0,7.99
 84-94,0,0,0,10.3,3.96,0,88.96,14.8,0,1.21,182.83,0,0,0,0,1.43,0,107.22,23.35,276.89,0,12.3,0,0,0,0,0,5.22,0,10.64,2,3.13,0,0.63,0
 96-106,0,0,0.87,13.88,5.84,0,140.03,13.36,3.98,7.73,284.14,0,0,1.88,1.71,2.09,0,100.73,42.12,298.23,0.59,9.8,0,0,0,0,0,12.35,0,11.44,0,0,0,0,7.02
108-118,0,0,0.94,7.04,0.9,0.78,185.47,15.64,0,6.8,627.09,0,1.65,1.81,0,1.95,1.74,66.57,53.35,511.76,0,10.88,0,1.23,2.97,0,0.94,6.37,0,6.44,1.79,0,2.22,0,0
120,1.12,0,0,9.89,0,0,213.05,8.37,0,0,531.1,1.61,0,0,0,2.85,0,68.53,12.01,636.09,0,20.04,0,0,2.8,0,0,2.45,0,14.1,6.92,0,0,0,0
