stage,eye,fin_epithelia,glial,liver,mesenchyme,mural_cell,muscle,neural,spinal_cord,vascular_smooth_muscle
 14-21,0,0,0,0,0,0,0.87,2.97,0,0
 24-34,1.4,0,0,0,2.47,0,2.14,11.25,0,0
 36-46,2.63,4.59,0,0,0,0,0,6.07,1.02,0
 48-58,3.9,0,0.4,0,0.99,4.39,0,6.59,0.75,0
 60-70,2.71,0,0,0,0,0,0,10.33,2.95,0
 72-82,4.69,0,0,2.04,0,0,0,1.16,2.42,0
 84-94,0,0,0,0,0,0,0,10.51,0,0.69
 96-106,0,0,2.35,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.08,0,0
120,0,0,11.25,0,0,0,0,0,0,0
