stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.7,6.34,0,1.92,0,0,0,2.31,0,0,0,0,0,0,0,0.83,0,0,2.93,95.81,0.85,1.72,0,0,1.15,0,9.72,42.51,0,0,0,0,0
 24-34,0,0,0,0.62,0,15.65,0,0,0,5.96,0,0,0,0,0,0,0,7.96,0,0,4.25,490.07,2.1,2.63,0,0,0,0,0,100.09,0,0,4.97,0,1.93
 36-46,0,0.73,0,0,0,105.86,0,0,0.97,10.88,0,1.53,0,0,0,0,0,20.15,0,0,12.89,887.9,6.61,0,0,0,0,0,0,145.34,0,1.23,7.1,0,0
 48-58,0,0,1.85,0,0,363.83,0.73,1.91,1.64,27.05,0,1.41,0,0.89,0,0,0,39.54,0,0.49,2.85,1056.06,8.4,0.4,0,0,0,0,0,182.46,0,0.61,2.17,0,2.6
 60-70,0,0,0.88,0,0,993.06,0,0,3.51,41.35,0,0,0,0.71,0,0,0,41.74,0,0,4.41,1133.1,0.92,2.81,0,0,0,0,0,116.26,0,1.84,1.57,0,1.56
 72-82,0,0.64,0,0,0,837.01,0,0,8.79,64.75,1.2,0,0,0,0,0,0,67.75,0,3.43,6.4,1263.71,1.63,1.3,0,0,0,0,0,142.85,1.69,3.47,1.12,2.14,4.16
 84-94,0,0,7.23,2.57,0,553.04,0,0,0,43.91,0,1.78,0,0,0,0,1.71,45.82,0,6.62,1.94,703.51,2.71,0.67,0,0.74,0,0,0,76.51,0,0.98,9.64,7.27,5
 96-106,0,0,1.32,14.07,0,404.9,1.35,0,2.44,58.98,0,0.78,1.03,9.06,0.75,0,0,59.95,0,3.51,5.7,550.98,6.41,2.17,0.79,0,0,0,0,23.13,0,0,0.68,2.27,0
108-118,0,0,3.22,0,0,328.33,0.54,0,2.81,39.8,0,0,0,1.79,0,0.76,0,34.52,1.14,0,3.7,502.09,2.94,1.88,6.27,0,0,0.81,0,36.6,0.55,0,3.87,0,2.63
120,0,0,0,0,3.69,197.04,0,0,0,59.43,0,0,6.17,0,0,10.24,0,50.67,0,11.57,3.78,589.26,12.05,2.51,6.67,0,0,0,0,23.41,0,22.46,5.01,9,2.85
