stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.05,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,101.81,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0.99,0,0,0
 36-46,0,0,0,0,61.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,1.22,0,0,0,0,0,0,0,0.67,0,0,0
 48-58,0,0,0,0,24.35,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,1.13,0,0,0
 60-70,0,0,0,0,1287.6,0,0,0,1.38,0,0,0,0,0,0,0,11.2,0,0,0,21.61,0,0,0,0,2.65,0,0,4.01,3.36,0,0
 72-82,0,0.79,16.28,9.33,4608.44,0,0,0.75,15.46,0.93,0.87,0,0,6.42,0,0,19.16,0,0,4.82,87.18,0,0,0,0,12.08,3.12,0,43.1,2.91,1.45,10.96
 84-94,0,0,20.77,14.98,5665.01,0,10.32,0.86,6.43,0,0,0,0,5.32,0,2.4,25.8,0,2.67,0,54.63,0.62,0.95,0,0,2.69,0,0,27.28,1.58,0.98,0
 96-106,0,0,4.8,19.78,4390.26,2.14,0,0,12.71,0.93,0,0.67,0.63,1.27,0,6.99,34.46,0,0,0.92,58,0,4.98,1.77,1.67,21.9,0,1.49,10,1.74,0.68,0
108-118,0,0,4.98,2.4,3894.43,0.44,8.88,3.57,15.29,0.85,0.86,2.57,0,6.97,1.11,0,23.36,3.93,1.28,3.03,119.93,0,0.59,0,0,0.76,0,0,7.52,2.38,1.93,7.26
120,0,0,13.17,4.03,5435.32,0,0,0,52.91,0,0,1.29,2.21,7.06,0,3.74,32.59,0,0,1.41,145.55,2.98,1.45,0,0,3.31,0,0,0,11.75,0,0
