stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,241.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,107.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.48,0,8.4,0,0,22.5,0,0,5.26,0,0,0,0,0,0,0,68.4,0,0,0,25.95,0,0,0,0,0,0
 10-12,0,0,5.06,0,0,16.45,0,0,0,0,0,0,0,0,0,0,85.13,0,0,0,12.69,0,0,0,0,0,0
 14-21,0,0,0.87,5.78,0,4.01,0,0,0,0,0,0,0,2.54,0,1.3,40.08,3.11,0,0,0,0,2.56,2.15,4.42,0,0
 24-34,0,0,0,0,0.88,23.6,0,0,0,0.77,0.78,0.67,0,20.96,0,2.33,167.21,0,1.33,0.74,0,2.58,0,0,37.28,0,0
 36-46,0,0,0,1.66,0.73,59.35,1.72,0,0,0,0,0,0,5.88,0,2.28,134.82,0,0,0,0,2.99,0,0,16.75,10.09,0
 48-58,0,0,0,2.93,1.4,53.47,1.48,0,0,0,0,0,0,6.05,1.04,0.97,48.39,0,0,0,0,0.57,0,0,3.35,0,1.67
 60-70,0,0,0,0.99,0,39.5,1.61,0,0,0,0,0,2.08,7.41,0,8.34,55.37,0,0,0,0,0,0,0,0,2.26,0
 72-82,0,0,0,1.86,0,15.41,3.47,0,0,0,0,0,0,4.05,0,1.12,12.48,0,0,0.76,0,3.42,0,0,0,1.32,0
 84-94,0,0,0,0,0,9.88,1.71,0,0,1.17,0,0,0,4.01,0,0.99,15.52,0,0,0.83,0,0,0,0,0,5.12,0
 96-106,0,0,0,1.54,0,5.35,0,1.03,0,0,0,0,0,2.94,0,0,10.36,0,0,0,0,6.12,0,0,0,0,0
108-118,0,0,0,0,0.96,8.53,0,0,0,0,0.6,0.5,0,6.65,0,0.42,7.37,0,0,0,0,0,0,0,0,0,0
120,0,0,0,2.29,1,7.52,5.13,0,0,1.1,0,0,0,5.76,0,1.47,29.64,0,0,0,0,0,0,0,0,0,0
