stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,39.03,0,0,0,0,0,9.11,0,0,0,0,0
 14-21,0,5.4,1.05,0,0,8.84,0,1.73,0,0,0,0,0.88,10.88,1.8,0.9,0,0,0,0.84,0,0,32.06,0,0,0
 24-34,0,0,1.05,0,0,4.62,0,0,0,0,0,0,1.42,0,10.45,0.7,0,0,0,0,0,3,69.6,0,0,0
 36-46,0,0,0,0.81,4.14,1,0,0,0,0,0,0,1.41,1.13,6.59,0,4.52,0,0,0,0,0,87.86,0,0,0
 48-58,0,0,0,1.64,0,5.65,0,0,0,0,0,0,0.6,0,4.02,0,5.54,0,0,0,0,0,63.13,0,0,0
 60-70,0,0,0,1.1,0,13.69,0,0,23.47,0,0,0,0,0,12.43,0,6.32,0,0,0,0,0,39.78,0,0,0
 72-82,0,0,0,6.32,0,4.2,0,0,24.11,0,0,0,0,0,20.16,0,11.48,0,0,0,0,0,36.52,0,0,0
 84-94,0,0,0,1.01,0,2.96,0,0,13.85,2.24,0,0,1.18,0,1.48,0,21.69,0,0,0,0.7,0,49.41,0,0,4.67
 96-106,0,0,3.95,1.01,0,7.66,0,0,0,0,1.21,0.86,3.32,0,0.72,0,20.83,0,1.6,0.69,0,0,35.99,0,0,0.91
108-118,0,0,4.46,0,0,16.1,0,0,0,0,0,0,3.92,1.57,3.14,0,14.9,0.48,0,0,0,0,34.93,1.21,0,0.57
120,0,0,0,1.85,0,9.18,0,0,1.01,0,0,0,0,0,10.76,0,0,0,0,0,0,0,25.19,0,1.32,0
