stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,49.31,908.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0,0
  5-6,26.53,548.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.85,0,0,4.2,0,0,0,4.55,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,68.46,9.9,0,0,17.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.91,0,0,0,8.11,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,124.04,3.17,0,0,5.6,4.24,0,0,0,0,5.88,0,0,0,0,0
 14-21,0,0,0,0,17.45,7.02,0,0.99,0,0,0,1.19,1.11,18.28,0,0,0.86,0,0,33.51,0,2.88,0.95,0,1.79,50.21,4.56,0,10.31,0,13.99,2.15,4.68,0,1.19,11.33,0,0,2.47,0,0
 24-34,0,0,0,1.65,39.5,0,0,7.1,0,1.46,1.06,0,0,0,0,0.65,6.21,0.83,2.3,0.73,0.9,4.08,11.13,0,5.48,84.76,0,5.08,2.91,0,31.74,0,3.05,0,0.82,35.74,0,0,6.59,0,0
 36-46,0,0,0.95,0,14.14,0,0,9.94,0,7.16,1.23,0.73,0,0,0,0,0,0,0.57,0,1.52,7.11,0.65,0,6.83,100.14,1.26,13.24,1.79,0,42,0,2.27,0,0,52.52,0,0,7.28,0,1.24
 48-58,0,0,0,0,19.3,0,0,22.38,0,1.43,0,4.47,0,0,0,0,7.18,0,0.44,12.15,5.05,11.12,1.96,0,1.03,173.44,2.44,1.14,0,0,19.96,0,0,0,0,41.54,0,0,3.04,0,0
 60-70,0,0,0,0,22.35,0,0,60.81,0,1.72,0,5.34,0,0,0,0.72,8.43,0.71,0,3.54,1.05,15.62,3.22,0,2.07,188.09,2.91,3.16,3.26,0,13.22,0,2.1,0,0,33.33,0,1.31,8.95,0,0
 72-82,0,0,0,0,4.05,12.35,0,142.7,0.55,8.52,0,9.37,1.36,0,0,0,12.68,0.49,3.16,3.32,0.5,42.12,0.92,0,1.08,272.09,0,1.31,0.71,0,1.9,0,0.55,3.02,0,37.2,1.47,0,8.25,0,3.84
 84-94,0,0,0.73,2.76,32.02,0,0,161.52,0,4.24,0.62,3.23,14.02,0,0,2.59,6.12,0.61,0,7.77,0,22.61,7.12,0,1.03,247.19,0,9.8,6.15,0,10.26,0,3.54,0,0,16.67,0.89,0,4.93,0.77,3.09
 96-106,0,0,2.26,3.02,17.12,7.51,0,156.37,0,2.39,0,14.22,10.18,0,1.02,2.23,2.86,6.68,0.62,6.62,0,25.75,0,1.82,1.66,265.95,0,6.32,4.22,0,18.2,0,1.35,0,0,12.91,3.79,0.76,12.67,0,10.31
108-118,0,0,1.03,5.22,45.82,7.89,1.5,182.19,0,9.6,0,21.03,13.23,0,0,6.02,5.57,9.47,4.48,25.71,0,32.05,7.12,2.87,0,323.42,0,0,10.18,0,7.05,0,4.58,0,0,15.82,5.94,1.1,7.6,1.62,0
120,0,0,2.94,1.66,69.24,0,0,276.01,0,0,1.98,37.49,23.64,0,0,24.39,8.48,3.12,3.05,16.36,0,47.72,5.62,0,0,548.81,0,19.84,0,0,20.03,0,7.91,0,0,8.14,2.39,2.71,24.47,0,0
