stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,172.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,18.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.91,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.34,0,0,0,37.14,0,0,11.8,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,4.79,3.48,0,3.35,0,0,0,8.49,0,0,0,0,0,0,0,3.64,0,0,6.05,99.98,3.34,0,0,1.18,0,0,0,2.9,0,3.61,32.55,0,0,4.64,0,0
 24-34,0,0,0.81,0.73,0.77,2.62,0,28.08,0,0,0.7,3.61,0.64,0,0,1.23,0,0,0,12.79,0,0,7.59,284.77,2.4,16.04,1.03,0,0,0.87,0,0,0,0.67,93.01,0,0,3.77,0,0
 36-46,0,0,0,0,2.11,1.22,0,54.01,0,0,0.72,17.42,0.78,0,0,0,0.74,0,1.62,23.98,0,2.16,17.69,344.57,11.43,16.73,0,0,0,0.84,0,0,1.97,0.59,99.44,0,0,0,0,0.68
 48-58,0,0,0,0,0.43,9.32,0,100.63,0,0,0.49,25.78,0,0.44,0,0,5.01,0,0.37,22.43,0,3.57,5.66,426.51,0.4,18.97,0.38,0,0,0,0,0,0,0,70.04,0,0,0.43,0,0.56
 60-70,0,0,0.86,0,1.51,10.58,0,174.6,0.83,0,0.85,16.33,4.04,0,0.98,0,0.63,0,0,46.66,0,8.19,4.44,744.24,0,18.48,0,0,0,3.16,0,0,0,0,90.29,0,0,2.24,2.52,0
 72-82,0,0,0.49,0,5.58,109.17,0,189.26,0,2.45,3.82,47.75,2.3,0,0,0,0,0,0,88.49,0,3.69,6.31,720.26,0,16.95,0.76,0,0,0,0,0,0,0,59.96,4.15,3.02,12.5,2.11,0
 84-94,0,0,2.91,0,12.06,102.68,0,238.77,0,0,0,37.07,7.78,0,0.74,1.69,0.88,0,2.65,65.26,1.21,13.91,7.31,684.68,0,12,1.34,0,0,2.91,0,0,0.62,0,55.59,0,1.05,24.79,14.4,0
 96-106,0,0,10.77,0,6.01,133.58,0,238.72,0,0.57,2.67,52.08,13.38,0,0,0,0,0,1.85,69.57,2.71,1.24,9.4,593.37,1.64,41.49,0.64,0,5.15,2.36,0,0,0,0,20.5,0,1.93,22.95,4.3,0
108-118,0,0,3.66,0,13.04,74.5,0.47,236.62,0,2.52,1.52,61.92,5.76,0,0.53,0,1.96,0,6.14,92.12,0.75,3.43,3.55,770.52,0.56,42.08,1.84,0,0,1.47,0,0,0.43,0,56.76,0,1.06,13.24,7.97,0
120,0,0,3.01,0,5.72,92.56,0,250.21,0,4.34,5.18,59.79,11.98,0,0,2.21,0,2.13,0,137.41,0,8.17,1.83,1398.07,2.7,36.63,0,0,4.48,0,0,0,0,0,54.07,0,0,23.79,21.01,0
