stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,4.4,15.33,7.14,0,8.62,0,0,1.91,1.08,0,0,0,28.63,7.44,504.74,0,0,1.92,2.43,0,18.02,1.36,1.83,5.25,88.59,5.97,0
 24-34,1.32,0.66,0,0,5.44,0,0.76,3.47,0.66,0,0,0.6,19.36,6.45,385.78,0,0,1.27,0,0,0,0.66,0,0.64,75.82,2.68,0
 36-46,0,0,0,0,2.4,0,0,6.31,0,0,0,0,21.34,2.15,249.69,2.74,0,0,0,0,0,0,0,0,37.95,7.67,0
 48-58,0,0,0,0,5.1,0,0,14.51,0,0,4.93,0,10.67,0.85,285.91,0,0,0.6,0,0,0,0,0,0,12.43,0,0
 60-70,0,0,0,0,11.42,7.94,0.91,7.71,0,0,0,0,0.85,0,238.49,0,0,0,0,2.98,0,3.99,0,0,0,0,0
 72-82,0,0.69,0,0,1.23,9.08,0,0,0.7,0,0,0,3.08,0,327.93,0,0,0,0,2.04,0,0,0,0,15.68,1.47,0
 84-94,0,0,0,0,2.91,0,0.87,2.52,0,0,0,0,0.8,0,463.7,0,0.7,0,0,0,0,0,0,0,1.59,0,0
 96-106,0,0,0,0,32.68,0,0,0.98,0,1.56,0,0,16.79,0,156.82,0,0,0,0,0,0,0,0,0,0,0,0.91
108-118,0,0.65,0.55,0.95,12.89,1.48,0,12.67,0,0.62,0,0,2.71,0,332.14,0,0,0,0,0,0,0,0,0,2.32,0,0
120,0,0,3.43,0,9.95,0,0,30.38,0,8.16,0,0,0,0,247.14,0,0,0,0,1.27,0,0,0,0,1.53,0,0
