stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.24,95.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,0,0,0,0,0,0,0
  5-6,8.29,63.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.77,0,0,0,38.61,0,0,0,0,0,0,0,0,0,86.79,3.96,0,0,12.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.6,0,4.44,0,38.58,0,0,0,0,0,0,0,0,0,51.12,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,24.19,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0
 24-34,0,0,0,0,0,0.96,0,1.35,0,0,0,0,0,0,0,49.29,0.62,0,0.76,0,0,0,0,0,7.8,0,0,5.54,0,0
 36-46,0,0,0,0,0,1.51,0,6.14,0,0,0,0,0,0,0,76.09,0,0,0.61,0,0,0,1.06,0,40.43,0,0,0,0,0.81
 48-58,0,0,0,0,0.53,18.87,0,11.62,0.41,0,0,0.8,3.75,0,0,47.96,0,0,0,0,0,2.28,0,0,16.74,0,0,0,0,0
 60-70,0,0,0,0,0,16.19,1.35,20.09,0.63,0,0.87,0,15.74,0,0,44.64,0,0,0,0,0,0,0,2.94,9.05,0,0,1.58,0,0
 72-82,0,0,0.87,0,0.86,32.77,1.31,31.03,2.55,0,0.65,0.73,14.31,0.91,0,92.54,0,0,2.15,0,0.8,0,0,0,18.86,0,0,2.01,0,0
 84-94,0,0,0,0,0,32.91,0,15.51,1.47,2.73,1.74,1.12,6.89,0,0,48.85,0,0,10.23,0,0,0,3.96,0,16.47,0,0,3.65,0,0
 96-106,0,0,1.08,0,0,44.67,0,44.63,0.73,0,1.36,3.68,20.59,0,0,84.21,0,1.07,17.13,0,0,3.49,6.78,0,7.43,0,3.08,0.65,2.14,0
108-118,0,0,0,0,18.8,55.28,6.48,37.86,1.88,2.42,4.5,29.02,31.79,0,1.08,113.23,0.96,0,4.42,0,0,0,5.18,0,12.04,2.96,1.66,0,0,0
120,0,0,0,0,6.43,17.69,0,19.71,11.13,0,0,12.35,21.32,0,0,166.63,0,0,2.2,0,0,0,11.24,0,7.02,0,3.14,15.22,0,0
