stage,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature
 14-21,0,0,0,0,1.02,0,0,0,1.32,0,0.96,14.87,0.88,0,0,4.15,0.99,0,0
 24-34,1.2,2.29,0,0,0,0,0,0,0,0,0.6,38.86,0,0,0,0,7.58,0,0
 36-46,0,22.74,1.78,0,0,0,0.63,0,0,0,0.73,72.64,0,0,0,0,29.79,0,0
 48-58,0,64.53,5.27,0,0,0,0.85,0,6.4,1.19,0,40.3,0,0.85,0,0,11.98,0,0
 60-70,0,143.72,1.12,0,0,0,0,0,0,0,0,52.14,0,0,1.89,0,10.74,0,0
 72-82,0,74.7,0.79,2.3,0,0,0.75,0,0,0,0,14.82,0.73,0,0,0,8.08,0,1.14
 84-94,0,48.88,1.95,0,0,0,0,0,0,0,0,7.73,0,0,3.7,0,0,0,0.86
 96-106,0,33.38,2.07,2.53,0,0,0,0,0,0,0,26.93,0,0,12.23,0,0,0,2.9
108-118,0.47,34.18,8.02,0,0,1.62,1.82,0.53,0,0,0,22.9,0,0,0,0,0,0.54,0
120,0,21.59,9.33,0,0,0,0,14.75,0,0,0,51.09,0,0,7.68,0,0,0,0
