stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,4.27,0,0,2.38,40.89,0.83,0,0,1.49,5.37,0
 24-34,0.6,0,3.74,0,0,0,0,3.05,0,1.33,60.87,0,0.67,0,0,16.78,0
 36-46,0,0,3.32,0,0,0,1.85,1.54,0,0,51.09,0,0.63,0,0,6.73,1.16
 48-58,3.38,0,7.63,0,3.04,0,0,3.35,0,0,55.58,0,0,0.51,0,12.57,0
 60-70,0.76,0,10.11,0,2.48,0,0,3.24,0.63,0,70.02,2.34,0,0,0,24.28,0
 72-82,0,0,37.04,0,2.85,0.56,0,0,0,0,73.05,0,0,0,0,19.02,0
 84-94,0,0,5.86,0,3.05,0,0,5.36,0,0,47.85,0,0,0,0,8.6,0
 96-106,0,1.42,9.55,0,0,0,4.68,3.24,0,0.97,68.83,0,0,5.9,0,0,0
108-118,0,0,14.05,1.19,7.56,0.67,0,1.21,0,0,44.28,0,3.27,0,0,12.81,0
120,0,2.57,45.71,0,0,0,0,0,0,0,119.62,0,0,0,0,32.62,0
