stage,blastomeres,endoderm,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,80.39,0,0,0,0,0,0,0,13.03,0,0,0,0,0,0,0,0
  7-9,5.65,7.17,0,8.69,0,0,0,0,62.08,0,0,16.24,0,0,0,0,0
 10-12,0,4.04,0,3.98,0,0,0,0,63.93,0,0,11.94,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,4.12,0,0,0,2.49,1.03,0,3.49,0
 24-34,0,0,0,0.95,0,0,1.6,0,16.63,0,0,0,0.78,0,1.16,1.49,1.23
 36-46,0,0,0,0,0,0,1.97,0.76,26.06,0,0,0,8.75,0,0,1.13,0
 48-58,0,0,0,2.26,1.06,0,0.9,0,12.52,0.38,0,0,0,0,0,0.6,0
 60-70,0,0,10.07,0,0,0,0,0,4.16,0,0,0,0,0,0,2.86,0
 72-82,0,0,0,0.87,0,0,0,0,1.2,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.51,0,0,0,0,1.21,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.57,0,0,0,0,1.91,0,2.22,0,0,0,0,0,0
108-118,0,0,0,0,0,0.59,1.05,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.4,5.62,0,0,0,20.25,0,0,0,2.62,0,0,0,0
