stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,68.15,1.57,0,0,0,0
 24-34,1.4,0.89,0,8.06,0,0,0,0,0,0,7.98,0,0,0,5.83,7.95,0.82,1.49,36.8,0,1.06,0,387.81,0,1.57,0,2.1,0
 36-46,24.23,0,0,1.26,0,1.15,0,0,0,1.54,15.18,0,0,9.67,1.75,1.46,0,0,7.1,0,14.88,0,548.36,0,2.1,0,0,0
 48-58,32.23,0,0,1.86,0,0,0,0.65,0,0,5.18,0,0,0,0,0,0,0,12.79,0,0,0,151.59,0,1.05,0,0,0
 60-70,54.19,0,0,23.69,0,0,0,0,0,3.3,1.76,0,12.57,1.41,2.74,0,0,0,68.86,0.64,2.84,0,323.91,0,5.64,0,0,0
 72-82,10.98,0,0,20.77,0,0,0,0,9.12,23.81,3.17,0,2.15,0,2.14,0,0,0,120.41,0,0,0,17.1,0,2.31,0.56,0,4.09
 84-94,39.16,0,0,4.78,0.7,5.37,0,0.74,2.38,28.57,32.18,0,2.28,0,0,0.58,0,0,94.58,0,18.99,0,89.53,0,9.39,0,0,0
 96-106,126.38,4.66,0,21.75,0,5.67,2.3,17.69,71.19,190.64,82.53,0.58,2.17,0,7.27,12.72,0,0,43.35,0,7.52,0.73,696.22,0,0,0,5.43,8.82
108-118,159.53,0,13.59,8.82,0,30.72,0,6.41,117.56,167.94,42.87,0.44,1.95,2.23,2.5,5.3,0,0,108.49,1.03,6.98,0,388.6,0,0,0,0,0
120,34.16,2.28,0,8.83,0,12.44,0,9.84,55.13,268.31,1.95,0,1.15,5,2.33,0,0,1.01,237.45,0,10.81,0,164.76,0,0,0,0,0
