stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.89,0,15.73,2.53,2.45,0,0,6.13,0,0,0,0,0.97,0,0,0.85,2.11,0,0,0,26.11,0,7.98,0.86,0.82,2.31,0,2.08,1.67,9.28,0,0,0
 24-34,0,0,0,2.69,3.77,3.24,3.74,3.38,0,2.59,0,0,0,0,0,0,0,0,1.7,0,0,1.88,56.81,0,7.13,0.77,0,10.22,0,0,0,12.35,0,11.95,0
 36-46,0,0,0,0,0.65,2.7,3.26,0.89,0,4.33,0,0,0,0,0,0,0,0,4.26,0,0,0,103.19,0,3.72,0.83,0,10.62,1.34,0,0,15.59,0,0,0
 48-58,0,1.29,0.44,0,0.39,0,12.87,0.39,0.71,4.06,0,0.41,0,0,0,0,0.39,0,4.56,0,0.39,0.98,60.22,0.5,4.8,0,0,10.59,0,0.9,0,18.99,0,0,0
 60-70,0,0,0,0,1.29,0,29.98,0,0,7.44,0,0.59,0.6,0,1.1,0,0,0,12.92,3.37,0,0,120.55,0,4.37,0,0,12.23,0.68,0,0,8.28,0,7.15,0
 72-82,0,0,0.86,0,0,0.95,18.48,0,0,8.14,1.49,2.07,0,0,0.55,1.85,0,0,9.49,3.44,0,0,62.98,0,3.77,4.3,0,9.27,0,0,0,16.28,0,0,0
 84-94,0,0,0,0,6.57,0,18.37,0,0,2.35,0.64,0.66,0,3.25,1.72,0,0,0,7.97,0,1.22,0,56.87,0,5.46,0.71,0,42.69,1.48,0,0,7.75,1.6,0,0.66
 96-106,0,0,0,0,10.16,10.14,10.28,3.97,0,6.43,0.77,0,0.87,1.69,0,0,8.71,0,7.82,2.18,0,1.86,48.02,0,11.36,1.04,0,23.07,0,0,0,5.57,0,1.41,0
108-118,0,0,0,0,12.47,0,27.34,1.4,1.03,8.97,5.36,0,0,0.63,1.91,3.82,0.69,0,12.35,6.97,0,0.55,110.92,0.55,0.84,2.34,0,39.59,2.88,0,0,1.03,1.54,2.48,0
120,1.12,0,0,0,15.99,2.29,1.5,0,4.44,2.11,2.76,0,0,1.12,0,1.07,0,0,0,0,0,0,109.07,0,29.79,2.49,0,14.54,0,0,0,0,7.99,0,0
