stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,77.25,1090.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.81,0,0,0,0,0,0,0,0,0,0
  5-6,103.41,779.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.89,0,0,0,0,24.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.45,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38,0,0,7.03,0,4.37,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.79,0,0,0,0,0.99,0,0,0,0,0,0,2.83,0,0,57.19,0,0,0,0,0,0,3.67,1.37,1.01,22.56,0,0,0,0,0
 24-34,0,0,0,0,1.6,0,14.74,0,1.51,0,11.28,0,2.36,0,0,0,0,0,3.21,0,0.77,411.1,1.43,7.76,0.69,0,0,0,0,0,0.6,104.74,0,0,1.6,0,0
 36-46,0,0,0,0,0.7,0,29.15,0,0,0,29.76,0.97,0,0,0,1.88,0,0,8.18,0,0,755.91,0,8.35,0,0,0,0,0,0,0,206.17,0,0,1.6,0,0
 48-58,0,0,0,0,7.26,0,95.5,0,0,0.44,142.37,0,0,0,0,5.73,1.39,0,17.6,0.39,0,1197.4,0,2.99,0.46,0,0,0,0,0,0,215.31,0,0,2.95,0,0
 60-70,1.61,0,0,0,3.18,0,234.32,0,0,0,194.91,0,0,4.6,0,0.71,0,6.8,12.3,0,1.47,2220.78,0,10.58,6.8,0,2.27,0,0,0.58,0,281.98,0,1.03,6.5,0,7.41
 72-82,0,0,0.87,0,11.73,0,295.83,0,0,1.35,59.83,2.47,0,0,3.72,3.91,1.17,0,49.44,0,0.53,1560.33,0,7.85,5.82,0,4.13,0,0,0,0,119.17,0,0,1.54,0,0
 84-94,0,0,0,0,10.59,0,195.74,0,0,1.78,94.69,0,0,0,0,0.62,0,0,33.97,0,5.63,938.36,0,6.23,8.45,0,0,0,0,0,0,67.97,0,4.18,7.28,0,0
 96-106,0,0,0,0,5.38,0,120.62,0,0,0,56.17,0,0.58,0.73,0,4.95,0,0,11.79,1.06,0.7,674.63,0,2.75,3.71,0,5.97,0,0,0,0,17.67,1.13,1.23,1.51,1.22,0
108-118,0,0,0,0,7.73,0.58,140.41,0.55,1.14,0,58.6,0,0,0.61,1.68,10.63,0,0.7,30.66,0.62,5.59,830.74,0,2.69,12.51,0,0.88,0,0,0,0,15.1,4.41,0,2.01,0,0
120,0,0,0,1.28,2.4,14.81,240.7,0,7.72,3.03,163.73,0,0,0,0,1.37,0,0,65.35,16.98,0,1734.74,4.45,6.18,24.52,0,0,0,0,0,0,61.12,3.35,0,0,1.93,0
