stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,36.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.03,89.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,98.91,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.14,196.45,0,0,67.12,0,3.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.66,0,24.66,0,0,13.9,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,318.26,368.56,0,0,40.35,0,0,0,0,4.89,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,0,148.74,5.58,2.15,0,0,0,0,2.05,0,1.99,0,4.13,0,0.92,0,10.32,0,0,1.67,44.51,297.6,0,0.89,1.71,0,13.42,0,6.42,0.91,0,8.92,5.98,0,0,5.18,0,0
 24-34,0,0,1.05,1.18,116.8,3.97,5.39,0,16.36,4.04,0,2,0,0.69,1.37,3.75,0,3.14,1.61,16.76,0,0,7.29,158.59,172.05,7.42,14.52,0,0,9.65,0,0,4.42,0,3.85,15.77,0,0,75.43,0,0.96
 36-46,0,0,0,0,75.09,3.29,3.96,0,41.8,4.44,2.87,0,0,4.18,0.81,1.48,0.56,2.31,0,49.25,0.56,0,8.83,105.29,189.55,1.89,7.15,0,0,9.63,0,0,5.56,0,0,20.96,0,0,25.78,0,0
 48-58,0.77,0,0,0,47.71,17.09,19.9,0,30.23,3.03,9.9,0,0,1.82,0.73,0.5,0,1.91,0,51.53,2.63,0,10.06,115.83,116.29,4.64,7.51,0,0,12.24,0,0,13.26,0,0,13.15,0,0,23.09,0,0
 60-70,0,0,0,0,60.29,41.12,32.8,0.95,12.36,6.98,8.14,0.9,0,2.76,4.51,1.97,0,3.27,0,95.37,0,2.79,16.52,98.32,69.4,2.37,9.05,0,1.97,34.09,0,0,2.7,0,0,17.37,2.97,1.33,17.56,0,0
 72-82,0,0,0.76,0,27.18,459.14,9.56,0,9.42,2.57,7.84,0.6,0,2.14,5.59,1.1,7.23,0.88,0,97.56,2.16,7.84,7.29,65.88,38.93,7.53,5.71,0,2.97,10.59,0,0,0.66,0,0,3.77,1.88,0,36.28,1.8,0
 84-94,0,0,2.24,0,54.01,423.29,17.34,1.38,24.35,5.86,1.91,3.59,0,3.6,16,5.78,3.49,1.72,0.82,95.4,0.91,0,2.96,36.17,56.49,11.98,5.57,0,0,68.21,1.4,0,7.81,0,0,9.17,3.08,0,46.25,0,2.76
 96-106,1.12,0,0,0,44.56,521.38,16.7,0,23.41,10.64,9.95,3.39,0,0.73,19.97,2.61,0,3.24,3.07,77.59,15.62,2.43,5.21,48.6,42.41,3.05,4.92,0,0,46.27,0,0,0.73,0,0,0.83,0.61,1.26,22.01,0,0
108-118,0,0,0,0,57.73,314.23,13.23,5.31,24.55,5.48,7.35,6.55,0,3.23,27.51,3.64,5.38,2.45,0,82.69,2.79,0,7.64,41.36,28.5,1.05,7.91,0,0,46.91,0,0,1.58,1.48,0,0.45,5.68,1.75,20.86,0,0
120,0,0,0,0,83.38,262.82,6.54,0,12.79,11.24,14.6,22.24,0,0,25.47,2.26,0,3.54,8.26,93.47,0,0,0,49.76,68.63,5.55,5.98,0,0,30.39,0,0,2.43,1.21,0,1.17,11.83,0,10.21,0,0
