stage,epidermis,erythrocytes,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,otic,slow_muscle,spinal_cord,vasculature
 14-21,0,1.06,0,0,0,0,0,0,2.31,0,0,0,3.01,0
 24-34,0.65,0,0,0,0,0,4.25,0,8.76,0,0,0,3.56,0
 36-46,0,0,1.42,0,0,0,0.81,0.65,7.88,1.69,0,0,5.48,0
 48-58,0,0,0,0.83,0,0,0,0,8.58,0,0,0,4.33,0
 60-70,0,0,1.53,0,0,0,2.55,0,13.04,0,0,0,1.67,2.26
 72-82,0,0,0,0,0,0,0,0,10.12,0,0,0.53,0,0
 84-94,0,0,0,0,0,0.64,0.66,0,0,0,0,0,0,0
 96-106,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.26,2.92,3.13,0,0.79,0,3.13,0,0.55,0,0,0
120,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
