stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0
  5-6,9.22,178.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,16.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.95,0,0,0,15.4,0,0,4.57,0,0,0,0,0,0,0,0
 10-12,0,11.37,0,5.59,0,0,16.38,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,68.16,12.73,0,0,33.17,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.59,0.97,0.92,0,0,0,0.89,0,0,0,0,0,0,0,0,0,1.92,0,0,3.17,34.74,0.83,0,1.76,0,0,0,0,0.94,2.79,7.49,0,0,0.99,0,0
 24-34,0,0,0,1.86,5.47,0,6.85,0,0,0,1.32,0.69,0,0.6,0,1.02,0,0,0,0,8.67,0,1.52,5.3,112.86,0,5.95,2.05,0,2.13,0.75,0,0,0,23.26,0,0,6.64,0,0.86
 36-46,0,0,0,0,1.45,0.76,21.96,0,0,0,9.64,0,0,3.1,6.4,1.63,0,0,0.67,0,12.02,0,5.29,4.86,465.03,0,12.49,7.98,0,0,17.97,0,0,0,67.28,0,0,5.45,0,0
 48-58,0,0,0,0,13.13,0,105.44,0,1.23,0,41.99,0,0,2.51,4.18,0.86,10.22,0,0.48,0,27.9,0,1.32,4.2,1442.15,0,18.73,8.06,0,0.61,0.56,0,0.74,0,48.41,0,0,6.75,0,0
 60-70,0,0,0,0,10.66,0,187.19,0,0,10.29,35.24,1.82,0,10.69,2.38,0,0,0.67,0,0,53.84,0.62,0,0,3550.14,0,23.49,4.25,0,12.94,12.58,0,0,0,40.89,0,2.86,2.06,1.13,3.22
 72-82,0,0,0,0,18.93,1.43,336.35,0,0,1.09,45.8,0.51,0,9.41,0.98,2.13,0,0,0,0,48.04,0,0,3.4,3064.47,0,30.74,19.93,0,2.24,2.35,0,0,0,69.95,0.56,0.61,3.49,0,0
 84-94,0,0,2.45,0,13.03,7.28,280.6,0,0,0.59,69.62,0.64,2.66,5.45,7.29,2.92,0,5.98,0,0,32.72,1.73,4.84,1.51,2048.26,0,18.37,11.7,0,6.51,4.31,0,1.27,0,45.02,0,1.05,13.83,0.62,18.4
 96-106,2.68,0,0,1.03,19.28,10.29,167.44,0,0.56,0,60.68,2.49,0,5.11,0,1.57,0,0,0,0,22.53,0,0,8.25,1687.23,0,18.51,19.95,0,8.26,3.78,0,0,0,22.33,0.88,3,9.63,0,5.23
108-118,0,0,0.62,0,22.43,2.94,166.54,0,0,2,42.66,0.81,0,6.14,5.26,2.52,1.56,0,0,1.29,37.52,0.67,0,3.76,2400.18,0,9.12,7.09,0,0,3.79,0,0,0,27.93,3.6,2.33,12.46,0,0
120,0,0,0,0,36.45,8.88,422.1,12.08,0,1.56,116.56,0,0,21.18,4.74,0,3.86,0,0,0,104.7,0,2.22,3.48,3908.48,0,8.32,4.61,0,0,5.82,0,2.39,0,16.85,0,8.19,15.5,0,0
