stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.32,126.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.45,97.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,8.13,0,0,0,0,0,0,0
  7-9,0,7.12,0,15.28,0,22.22,0,0,0,0,15.02,0,0,0,0,0,0,0,0,105.39,0,0,0,27.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,36.02,0,0,0,50.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.52,1.9,0,0,7.12,0,0,0,1.68,0,0,0,0,0,1.16,16.51,0,0,0,0.86,0,0,2.96,10.19,0,0,0.84,0
 24-34,0,0,0,0.84,0.91,9.29,0,1.66,1.64,0,0,0,0,0,0,0,7.41,0,0.6,72.61,0,1.45,0,0,5.43,1.12,0.64,26.71,0,0,0,0
 36-46,0,0,0,0,0.66,14.27,1.04,0,0,0.83,0,0,0,0,3.46,0,5.94,0,0,131.53,0,0,0.67,0,0,0,0,20.09,0,0,0,0
 48-58,0,0,0,0,3.61,26.68,0,0,4.96,0,0,0,0,0,0,0,10.12,0,7.47,83.13,0,0.48,0,0,3.03,0,0,20.86,0,0,3.1,0
 60-70,0,0,0,0,0,21.86,0,0,4.55,0,0,0,0,2.89,0,0,9.31,0,4.27,81.11,0.57,0,0,0,3.21,0,0,9.18,0,0,0.74,0
 72-82,0,0,0,0,0,36.09,0,0,9.92,0,0,0,0,0,0,1.95,7.99,2.59,1.95,18.61,0,0,3.59,0,1.26,0,0,1.95,0,0,0,0.84
 84-94,0,0,0,0,1.22,11.38,0.9,0.91,1.27,0,0,1.26,0,0,0,0,5.92,0,1.47,22.07,0.85,0,1.18,0,8.98,0,0,5.8,0,0.57,0,0
 96-106,0,0,0.95,0,6.2,3.29,0,0,0,0.56,0,0,0,0,0,0,3.01,0,0.98,28.62,0,0,0,0,4.31,0,0,2.91,0,1.03,0,0
108-118,0,0,0,0,2.37,11.93,0,0,1.07,0.77,0,0.88,0,0,0,0,3.98,2.36,1.11,37.24,0,0,0,0,4.74,0,0,2.08,1.9,0,0.64,0
120,0,0,0,0,2.37,19.16,0,0,2.14,0,0,2.39,0,0,0,0,29.1,0,1.86,51.18,0,0,2.28,0,0,0,0,0,0,0,0,0
