stage,mesenchyme,neural,olfactory,otic,spinal.cord,vasculature
 24-34,0,1.39,0,0,0,0.73
 36-46,0.62,2.02,0,0,0.63,0
 48-58,0,1.74,10.26,0,0.77,0
 60-70,0,0.79,2.34,0,0,0
 72-82,0.64,0,84.54,0,0,0
 84-94,0,0,48.01,0,0,0
 96-106,0,2.9,55.74,0,0,0
108-118,0,0,31.62,0.44,0,0
120,0,0,11.58,0,0,0
