stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal_cord
  3-4,0,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0
 14-21,0,0,0,0,1.16,0,0,0,0,0,0,0,0.9,1.78,0,0,0,0
 24-34,0,0,0.69,0,0,0,0,0,0,3.7,0.68,0,0,2.03,0,0,0,4.07
 36-46,0,0,0,0,1.05,0,0,0,0,21.2,0,0,0,6.62,0,0,1.4,6.76
 48-58,0,0,0,0,0,0,1.41,0,0,46.53,0.52,0,0,7.74,0,0,0,0
 60-70,0,0,0,0,6.24,1.1,0,0,0,42.94,0,0,0,5.02,0,1.03,0,1.24
 72-82,0,0,0,0,5.45,0,0,0.7,0,77.08,0,0,1.51,13.92,0,0,1.4,0.63
 84-94,0,0,0,0,6.33,0,0,0,0,26.69,0,0,1.23,0,0,0,2.78,0
 96-106,0,0,0,8.28,6.22,0,9.66,0,0,153.82,0.92,1.34,0,24.45,2.13,0,0,0
108-118,0,0,0.87,2.13,8.17,0,0,0,0.98,110.78,0.78,0,0,20.17,0,2.38,3.33,2.97
120,0,0,0,0,3.64,0,0,0,0,45.78,3.37,0,0,8.27,0,0,2.73,0
