stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,49.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.18,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.29,0,8.57,0,0,0,0,0,0,0,0,0,0,47.3,0,0,9.95,0,0,0,0,0,0,0,0
 10-12,0,5.59,0,0,0,0,0,0,0,0,16.59,0,0,0,0,64.62,0,0,10.48,4.33,0,0,0,0,0,0,0
 14-21,0,0,0,0.8,0,0,0,0,0.84,0,0,0,0,4.26,0.91,12.6,0,0,0,0,0.83,1.04,1.7,4.45,0,0,0
 24-34,0,0,0,5.33,4.27,0,0.62,0,0.63,0,0,0,0,5.87,4.02,29.23,0,0,0,20.69,0,0,0,9.34,0,2.14,0
 36-46,0,0,0,3.34,0.59,0,0,0,0,0,0,0,0.62,6.86,0.72,17.11,0,0,0,10.65,0,0,0,0.86,0,1.32,0
 48-58,0.39,0,0,0,1.12,0,0,0.93,0.56,0,0,0,0,5.1,0,6.81,0.61,0,0,2.78,0,0,0,0,0,0,0
 60-70,0,0,0,0.58,4.25,0,0.63,0,0,1.59,0,0,0,6.23,2.21,1.14,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.92,0,0,0,0,0,0,0,0,1.43,0.66,12.22,0,0,0,0,0,0,0,4.19,0,0,3.76
 84-94,0,0,0,0,2.54,0.79,0,0,0.69,0,0,0,0,6.92,0,0.66,3.42,0,0,2.76,0,0,0,0,0.77,0,0
 96-106,0,0,0,1.11,5.14,0,0,0,0,0,0,0,0.63,4.94,0,2.31,0,0.59,0,0,0,0,0,0,0,2.37,0
108-118,0,0,0,2.05,2.01,0,0,0,0.77,0,0,0.42,0,2.69,0,4.3,0,1.26,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,2.35,0,0,0,0,0,0,0,25.52,1.92,15.7,0,0,0,0,0,0,0,0,0,0,0
