stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,140.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0
  5-6,12.34,116.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.87,0,0,0,0,0,0,0
  7-9,0,4.97,12.08,0,0,0,12.53,0,0,0,0,6,0,0,0,0,0,0,0,0,137.73,7.1,0,0,39.15,17.3,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,108.1,0,0,0,76.77,0,0,3.28,0,0,0,0,0
 14-21,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0
 24-34,0,0,0,88.87,0,0,0,0.64,0,0,0,0,0,0,0,0,0,1.39,0,0.64,4.7,2.71,0,0.67,0,0.8,0,0,0,0,0,0,0
 36-46,0,0,0,818.68,0,0,0,38.37,0,0,0,0,0,0,0,0,0.82,15.36,0,0,18.27,0,0,0,0,0,0,4.63,0,0,0,0,0
 48-58,0,0,0,1560.22,0.43,0,13.08,207.35,0,4.42,0,0,0.56,0.5,0,0,7.13,5.84,0,3.05,55.25,6.2,0,0,0,0.72,0,13.68,0,0,0,0,0
 60-70,0,0,0,2600.4,0,0,20.3,319.37,0,0,0,0,0,0,0,0,5.78,31.72,0,0,52.65,0,0,1.01,0,0,1,2.64,0,0,0,5.1,0
 72-82,0,0,0,2319.38,0,0,47.52,206.3,0.49,11.23,0,0,0,4.7,0.62,3.49,18.71,36.66,1.72,1.89,56.78,0,2.44,0,0,5.47,0,1.39,4.21,0,0,0,0
 84-94,0,0,0,4957.25,1.43,0,24.95,485.28,0,3.3,0.59,0,0.67,0.72,0.59,0,2.16,46.76,0,0,57.03,0,0,0,0,2.07,0,7.48,1.28,0,0,7.03,0
 96-106,0,0,0,4795.41,8.87,0,72.66,431.47,0,7.38,1.11,0,0,0.68,0,7.9,23.99,52.72,0.8,0,90.26,0.64,0,0,0,19.11,1,3.52,0,2.46,0,0,7.02
108-118,0,0,0,4992.39,1.55,0,7.05,591.88,0,5.25,1.11,0,0.67,0,2.01,1.5,21.79,33.19,1.91,0.62,46.42,0,1.58,2.98,0,4.78,0.43,0,0.84,1.18,1.2,1.19,4.53
120,0,0,0,3469.84,0,5.29,27.95,369.4,10.54,2.9,2.34,0,0,0,4.23,0,3.91,34.71,0,0,61.17,0,1.7,0,0,0,0,12.11,0,0,0,0,0
