stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,1949.59,4397.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.03,0,0,0,0,0,0,0
  5-6,1364.8,4710,72.03,0,0,0,0,125.09,0,0,0,0,828.03,70.01,0,445.03,10.73,0,0,0,0,0,0,0
  7-9,1255.29,130.97,197.92,0,0,482.22,0,2019.44,0,0,0,0,1760.39,1110.48,0,5523.96,0,8.05,0,0,0,0,0,0
 10-12,4.89,29.34,241.36,0,0,1323.97,0,564.83,0,0,0,0,3309.22,407.55,0,425.29,0,0,4.36,15.44,0,0,0,0
 14-21,0,0,0,17.28,3.82,0,0,0,13.29,0,14.99,7.18,59.15,981.41,1.29,4.09,0,0,35.82,0.85,3.1,5.32,0,0
 24-34,0,0,0,0,0.66,2.89,0,0,0,0,3.82,1.92,58.7,355.92,0,0,0,0,0,0,1.12,6.7,4.23,1.19
 36-46,0,0,0,0,0,0,0,0,0,2.39,2.46,0,25.98,22.55,0,0,0,0,0,0,0,0.6,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,3.27,5.15,1.05,0,0,0,0,0,0,1.23,0,0
 60-70,0,0,0,0,0,0,8.4,0,0,0,0,0,0.76,0.64,0,0,0,0,0,0,0,0.81,0,0
 72-82,0,0,0,0,0,0,1.38,0,0,0,1.33,0,3.64,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,1.18,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.45,0,0.95,0,0,0,0,2.81,0,11.43,0,1.37,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,4.69,0,0,0,0,0,15.92,0,1.47,0,0,0,0,0,0,0,0,0
