stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,89.43,1036.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0
  5-6,43.98,402.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.68,0,0,4.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,23.25,0,0,0,10.51,0,0,0,0,0,10.86,0,0,0,0,0,0,0,0,76.65,0,0,6.93,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,26.96,10.84,0,1.78,0,0,0,0,7.1,1.67,0,0,1.95,0,4.97,1.09,0,7.8,16.45,0.89,0,0,0,13.12,1.02,5.99,0,0,0.91,0,0
 24-34,0,0,0.75,0,12.25,0.62,0,2.68,0,1.36,0,0,0,0,0,0,2.18,0,12.35,0,0,5.16,29.05,3.8,0.68,0,0,0,0,6.24,0,0,10.03,0,0
 36-46,0,0,0.73,0,15.72,0,0,10.08,0,0,0,0,0,0,0,1.56,0.85,0,31.32,0,1.66,6.12,70.81,0,0,0,0,6.49,0,13.32,0,0,4.26,0,0
 48-58,0,0,0.53,0,13.14,0,0,21.36,2.64,3.01,0,0.39,0,0,0.63,0,0,0,28.92,0.95,0.5,3.76,54.09,0,1.19,0,0.45,0,0,3.22,0,0,0.44,0,0
 60-70,0,0,0,0,17.04,0.65,0,53.45,1.44,0,0,0,0,0,0,2.51,0.58,0,62.67,0,0,0.58,40.41,0,4.73,0,0,0,0,5.53,0,0,0,0,5.4
 72-82,0,0,0.53,0,23.7,2.64,0,53.07,0,1.32,1.9,2.54,0,0,0,1.22,0.57,0,35.7,0,0.92,3.61,13.81,0,4.79,0,0,1.7,0,4.79,2.76,4.74,6.33,2.06,0
 84-94,0,0,0,2.08,68.17,0.76,0,36.55,0,8.75,0,3.43,0,0,0,1.45,1.68,0,45.4,0.67,0,0.83,23.14,0.81,4.49,0,0,4.33,0,0,5.64,0,0.6,0.68,0
 96-106,0,0,0.81,0.65,66.4,0,0,7.58,0,7.34,12.11,7,4.01,0,0,5.31,2.05,0,44.79,0.65,1.41,1.55,19.89,0.99,9.2,0,0,11.56,0,0,7.65,0,3.96,9.27,0
108-118,3.02,0,0,0,75.92,3.08,0,23.69,0,7.21,0,3.88,2.25,0,0,9.88,0.8,0.43,27.41,7.12,1.98,1.94,32.98,0.75,3.86,0,0,15.58,0,1.46,4.78,0.8,4.3,0.56,4.11
120,0,0,0,0,58.93,11.1,2.19,34.95,0,10.19,0,8.59,3.26,0,0,9.47,3.8,0,13.09,0,0,0,27.41,0,0,0,0,2.47,0,0,2.44,0,0,0,0
