stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,85.36,1488.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.8,0,0,0,0,0,0
  5-6,73.8,617.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.46,0,0,0,8.01,0,0,0,0,0,0
  7-9,0,7.93,0,0,0,0,17.38,0,0,8.08,0,0,0,0,0,0,82.92,0,0,29.79,0,23.09,0,0,0,0,0
 10-12,0,0,0,0,0,0,16.26,0,0,21.93,0,0,0,0,0,0,67,0,0,33.04,0,12.18,0,0,0,0,0
 14-21,0,0,0,1.02,0,0,4.45,0,0,0,0,0,0,3.06,0,1.29,17,0,0,0,0,0.99,0.8,0.81,0,0,0
 24-34,0,0,0,0,0,0,14.52,0,0,0,1.12,0.75,2.19,4.44,0,0,27.98,0,0,0,0,0,0,4.14,0,0,0
 36-46,0,0,0,1.5,0,0,5.36,1,0,0,0,0,0,0.71,0,0,17.59,0,0,0,0,2.42,0,4.71,0,0,0
 48-58,0,0,0,0,0,0,3.03,0.65,0,0,0,0,2.46,0,0,0.62,10.3,0,0,0,0,0,0,3.11,0,0,0.54
 60-70,0,0,0,0,0.81,0,4.06,0,0,0,0,2.56,0,0,0,0,20.88,0,0,0,0,0,0,1.36,0,0,0
 72-82,0,0,0,0,0,0,3.73,0,0,0,0,0,0,1.07,0,0,20.63,0,0,0,1.01,1.41,0,0,0.75,1.22,0
 84-94,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,6.9,0,9.95,0,0,0,0,0,0,2.32,0,0,0
 96-106,0,0,0,1.2,0,0,0,3.38,0,0,0,0,0,0,4.68,0,9.19,0,0,0,2.09,5.09,0,1.89,0,0,0
108-118,0,0,2.94,3.79,0,0.59,4.26,3.65,1.19,0,0,1.26,0,0,1.4,0,11.48,0.47,1.13,0,1.33,3.56,0,0,0,1.05,0
120,0,0,0,0,0,0,0,1.31,0,0,0,5.46,0,0,19.94,0,0,0,0,0,2.93,2.3,0,0,0,0,0
