stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,67.72,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.27,0,4.48,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 14-21,0,0,1.61,0,0,0,0,6.71,0,0,5.39,0,0,0,0,1.39
 24-34,0,0.84,0,0,0,0,0,0,0,0,64.36,0,0,0,0,17.58
 36-46,0,0,0,2.93,0,3.85,0,0,0,0,210.39,0,0,0,0,41.56
 48-58,0,0,0,17.91,0,11.61,0,0,0,0.95,270.22,0,0,0,0,46.19
 60-70,0,0,0,70.13,0.98,3.18,0,0,1.52,0,350.85,0,0,0,0,55.78
 72-82,0,1.89,0,26.95,0,0,0,0,0.7,0,126.04,0,0,0,0,19.34
 84-94,0,0,0,42.82,0,3.21,0,0,1.31,0,163.86,0,0,0,0,13.96
 96-106,0,0.56,0,5.1,0,2.89,0,0,1.25,0,79.62,0,0,0,0,1.18
108-118,0,0,0,25.91,0,1.51,0.65,0,0,0,98.57,0,0.47,0,0,4.26
120,0,0,0,7.46,0,4.49,0,0,0,2.57,129.26,0,0,0,0,0
