stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,18.25,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7.72,5.7,3.26,0,6.55,0,0.89,6.51,0.91,0,0,0,0,4.84,0,2.49,70.93,3.19,0,41.55,0,0,26.69,6.32,19.76,14.5,0,0,0,0
 24-34,0,0,3.9,0,0,8.09,2.01,8.62,0.67,0,0,0,0,0,10.05,0,0,132.2,2.68,0.86,0,0,2.7,0,0.86,17.29,15.54,0,0,0,0
 36-46,0,0,3,0,0,119.31,0,35.07,0,0,0,0,0.8,0,18.96,0,0.93,384.42,1.29,0.85,0,0,0,0,0,0,23.07,0,0,0,0
 48-58,0,0,5.63,0,0,344.9,0.55,57.37,0,0,0,0,0.38,0,28.42,1.26,5.89,342.96,0,0.44,0,0,0.62,0,0,0,34.17,0,0,0,0
 60-70,0,0,0,0,0,306.76,0.76,50.78,0,0,0.79,0,1.22,0,28.76,0,1.2,172.54,0,0,0,0,0,0,0,0,19.24,0,0.9,0,0
 72-82,0,0,0,0,0,174.96,0,17.79,1.38,0,0,1.42,0.73,0,39.76,5.49,2.68,96.35,0,1.62,0,0,0,0,0,0,0,0,0,0.55,0.79
 84-94,0,0,1.49,0,0,171.92,0,26.15,0,0,0,3.09,1.05,0,38.67,1.06,2.7,125.48,0,1.79,0,0,0,0,0,0,11,2.04,0,0,2.81
 96-106,0,0,1.83,0,0.94,112.14,3.53,20.35,0,0,0,19.47,2.09,0,25.17,1.69,0.6,51.42,0,0.61,0,0,2.41,0,0,0,0,5.47,1.01,0,3.06
108-118,0,0,0.55,0,0,104.13,0.46,10.04,0,0,0,12.44,0.69,2.01,44.98,0,0,83.39,0,4.71,0,0,0,0,0,0,0,0,2.82,0,10.14
120,0,0,4.28,0,0,109.65,6.71,31.49,0,0,0,7.16,3.78,0,34.66,0,0,94.83,1.1,3.12,0,9.21,0,0,0,0,0,3.81,3.48,0,0
