stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,11.92,469.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.16,410.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.64,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.76,26.03,21.12,0,0,31.09,0,0,0,0,0,0,0,0,0,0,312.49,0,0,0,110.76,0,0,0,0,0,0,0
 10-12,0,3.83,8.14,0,0,12.09,0,0,0,0,0,0,0,0,0,0,263.22,0,0,0,76.98,0,0,48.85,0,0,0,0
 14-21,0,0,0.96,13.26,8.13,1.66,0,0,0,0,0,0,0,8.86,0,0.83,30.58,0,0,1.59,1.82,0,0.9,0,7.26,9.82,0,0
 24-34,0,0,0.76,0,0,9.36,0,0,0,0.86,0,0,0,1.47,0,3.65,81.09,0,1.1,0.67,0,2.95,0,0,0,10.79,1.28,0
 36-46,0,0,0,0,0,4.38,0,0,0,0,0,0.56,0,6.18,2.04,2.2,49.82,0,0,0,0,0,0,0,0,6.09,0,0
 48-58,0,0,0,0,0,22.85,0.97,0.68,0,0,0,0,0.41,3.25,0,0.39,60.2,3.5,0.41,0,0,0.41,0,0,0,11.86,0,0
 60-70,0,0,0,0,0,38.99,0,9.71,0,0,0,0,0,8.52,5.67,0.8,53.76,0,0,0,0,0,0,0,0,1.49,0,8.04
 72-82,0,0,0,0,0,9.67,0.57,4.93,0,0,0,0,0,6.02,0,1.51,36.57,0,0,0,0,0,0,0,0,4.58,2.88,0
 84-94,0,0,0,1.03,0,20.51,0,2.17,0.68,0,0,0,0,15.01,0,0,22.99,0,0,0,0,2.44,0,0,0,0.65,0.6,0
 96-106,0,0,0,0.86,0,13.43,1.01,5.25,0,0,0.74,0,0,0,0,0,15.69,0,0,0,0,0.77,0,0,0,0,0,0
108-118,0,0,0,2.76,0,7.27,0,1.51,0.65,0,0,0.72,0,4.17,0,0,18.2,0,0,0,0,0.93,0,0,0,0,0,0
120,0,0,0,0,0,0,0,9.09,0,0,0,0,0,5.08,0,0,16.57,0,0,0,0,4.82,0,0,0,0,0,0
