stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.57,318.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,0,0,0,0,0,0
  5-6,19.61,84.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.13,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,20.45,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,50.24,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.88,0,0,0,0,0.82,0,0,0,0,7.87,0,1.03,0,0,21.04,0,0,0,0,0,0,2.8,1.72,4.81,0,0,0,0,0
 24-34,0,0,0,0,2.57,0,3.13,0,0,2.33,1.89,0,0,0,1.39,0,0,0.78,0,0,90.57,0,0,18.26,0,0,0,0,0,35.77,0,0,0,0,0
 36-46,0,0,0,0,3.09,0,8.01,0,0,1.13,0,0,0,0,2.29,0,0,8.5,0,0,282.68,0,0,5.57,0,0.62,0,0,0,22.55,0,0,0,0,0.61
 48-58,0,0,0,0,0.45,0,105.9,0,0,1.88,0,0,0,0,2.28,2.23,0,17.57,2.36,1.67,630.02,0,0.39,20.61,0,1.83,0,0,0,63.48,0,0,5.48,0,0
 60-70,0,0,0,0,4.52,0,549.24,0,0,13.45,0,0,0,0,4.86,0,2.19,44.58,0,0.6,1537.14,7.37,2.85,5.79,0,4.8,0,0,0,119.21,0,0,0,0,13.58
 72-82,0,0,0,0,3.39,1.81,576.72,0,2.01,23.23,0,0,0.98,4.18,1.53,0.82,0,44.43,0,2.87,1296.92,0,0,19.38,0,1.32,0,0,0,87.56,0,1.48,0,0,1.38
 84-94,0,0,0,0,7.98,0.59,593.53,14.52,0,13.24,0,0,3.12,0,1.26,0,0.99,38.51,0,5.9,943.68,0,0,31.95,0,0.95,0,0,0,46.88,0,0.63,0,7.35,0
 96-106,0,0,0,0,5.67,0,414.62,0,4.71,16.74,0,0,1.27,0,5.98,4.24,0,28.99,8.77,4.63,686.02,0,0.56,53.5,0,7.55,0,0,0,32.63,0,0,0,0,0
108-118,0,0,0,0,10.37,0,381.34,1.3,0,18.43,0,0,0.59,1.01,7.07,0,2.68,52.6,9.93,2.26,832.05,0,0,54.33,0,0,0,0,0,10.74,1.23,0,1.08,2.04,0
120,0,0,1.73,0,21.96,0,507.7,7.83,0,19.89,1.38,0,0,0,1.74,0,0,58.98,20.82,4.85,1185.77,0,0,56.77,0,2.51,0,0,0,60.33,0,0,0,8.42,0
