stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,taste,xanthophores
  3-4,32.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.04,0,0,0,0,0,0
 10-12,0,6.38,0,0,0,0,0,0,0,0,0,0,24.15,0,12.52,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,3.41,0,0,10.89,0.84,0,1.67,1.78,0,0
 24-34,0,0,0.69,0.77,0.82,0,0,0,0,2.44,0,0.69,2.62,0,0,0,0.72,0,0
 36-46,0,0,0,3.81,0,0,0,0,0,6.44,0,1.57,1.85,0,0,0,0,0,0
 48-58,0,0,0,9.39,0,0,0,0,0,0.61,0,0,1.92,0,0,0,1.32,0,0
 60-70,0,0,0,4.09,0,0,0,0,0,0.69,0,0,1.02,0,0,0,0,0,0
 72-82,0,0,0,5.1,0,0,0,1.08,0,0.81,0,0,0,0,0,0,0,0,0
 84-94,0,0,2.45,5.57,0,6.74,0.92,0,0.79,0.83,0,0,1.43,0.66,0,1.66,0,0,0
 96-106,0,0,0,1.34,0,1.09,0,0,0,0,0,0,1.27,0,0,0,0,1.82,0
108-118,0,0,0,0.56,0,0,0,0,1.77,1.56,0.65,0,0,0.42,0,0,0,0,0
120,0,0,0,18.11,0,0,8.22,0,0,0,0,0,9.44,0,0,0,0,0,1.1
